,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,67.00,62.90,24,64.30,"20,011"
1,20191108,62.0,61.8,6,62.0,"6,001"
2,20191107,62.2,62.2,3,62.2,"4,001"
3,20191106,62.3,62.2,9,62.3,"6,003"
4,20191105,62.3,62.3,3,62.3,"4,001"
5,20191104,62.5,61.3,9,62.5,"10,002"
6,20191101,62.6,61.8,5,62.6,"6,000"
7,20191031,62.9,62.5,4,62.5,"7,000"
8,20191030,62.7,62.6,4,62.6,"4,001"
9,20191029,62.9,62.1,8,62.6,"8,005"
10,20191028,62.8,61.8,14,62.8,"10,894"
11,20191025,63.0,62.0,11,63.0,"13,000"
12,20191024,62.8,62.0,9,62.8,"7,002"
13,20191023,62.8,62.0,7,62.0,"7,000"
14,20191022,62.8,62.0,6,62.8,"6,002"
15,20191021,63.0,61.9,14,62.8,"13,001"
16,20191018,63.0,61.6,13,62.7,"9,007"
17,20191017,63.0,63.0,8,63.0,"9,000"
18,20191016,63.0,62.5,18,63.0,"19,001"
19,20191015,62.7,62.6,5,62.6,"3,002"
20,20191014,62.5,62.4,2,62.4,"3,000"
21,20191009,62.3,61.3,9,62.3,"10,000"
22,20191008,64.5,63.9,11,63.9,"8,003"
23,20191007,60.8,60.1,11,60.8,"15,002"
24,20191004,60.6,60.0,13,60.0,"17,001"
25,20191003,60.1,59.9,3,60.1,"3,000"
26,20191002,60.1,60.1,2,60.1,"2,001"
27,20190927,60.0,59.2,17,59.7,"12,005"
28,20190926,60.6,59.8,19,60.6,"15,062"
29,20190925,60.2,59.8,8,59.8,"6,004"
30,20190924,60.0,59.0,34,60.0,"37,038"
31,20190923,59.2,59.2,4,59.2,"3,001"
32,20190920,59.2,59.0,13,59.0,"22,000"
33,20190919,59.0,59.0,6,59.0,"6,000"
34,20190918,59.1,58.3,17,59.1,"14,004"
35,20190917,58.9,58.9,7,58.9,"5,002"
36,20190916,59.1,59.1,1,59.1,"3,000"
37,20190912,59.1,58.7,9,59.1,"11,000"
38,20190911,58.8,58.2,5,58.8,"4,001"
39,20190910,59.0,58.9,5,59.0,"3,002"
40,20190909,58.9,58.0,13,58.9,"15,003"
41,20190906,58.8,58.0,12,58.8,"10,017"
42,20190905,58.9,58.9,7,58.9,"3,050"
43,20190904,59.2,58.0,10,58.9,"8,004"
44,20190903,59.0,59.0,2,59.0,"2,000"
45,20190902,59.3,58.5,9,58.7,"7,002"
46,20190830,58.5,58.0,23,58.5,"13,100"
47,20190829,58.7,58.0,7,58.7,"7,001"
48,20190828,58.9,57.8,9,58.9,"10,000"
49,20190827,59.4,59.0,5,59.3,"4,021"
50,20190826,58.9,58.7,13,58.9,"4,012"
51,20190823,59.2,58.1,7,59.1,"6,002"
52,20190822,59.0,58.0,5,59.0,"9,001"
53,20190821,59.5,58.5,10,59.5,"9,001"
54,20190820,58.1,57.7,11,58.1,"9,004"
55,20190819,58.5,57.7,6,57.7,"6,000"
56,20190816,58.2,57.7,7,57.9,"6,001"
57,20190815,58.9,58.8,4,58.9,"2,003"
58,20190814,59.0,57.3,10,58.3,"16,002"
59,20190813,58.1,57.0,9,58.1,"22,002"
60,20190812,59.0,56.2,20,58.1,"22,010"
61,20190808,54.8,54.7,3,54.7,"2,002"
62,20190807,54.8,54.5,8,54.8,"7,003"
63,20190806,54.6,54.6,3,54.6,"9,000"
64,20190805,55.3,54.7,13,54.7,"13,002"
