,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,2.80,2.66,113,2.70,"640,501"
1,20191108,2.69,2.56,145,2.69,"768,158"
2,20191107,2.55,2.53,53,2.55,"161,492"
3,20191106,2.57,2.55,43,2.56,"178,361"
4,20191105,2.57,2.53,61,2.57,"244,571"
5,20191104,2.56,2.52,60,2.56,"181,567"
6,20191101,2.55,2.51,55,2.55,"161,298"
7,20191031,2.55,2.52,45,2.55,"107,311"
8,20191030,2.56,2.52,51,2.55,"181,078"
9,20191029,2.57,2.53,66,2.55,"261,524"
10,20191028,2.57,2.54,28,2.57,"29,812"
11,20191025,2.57,2.55,44,2.57,"82,267"
12,20191024,2.57,2.56,21,2.57,"49,999"
13,20191023,2.58,2.54,46,2.56,"152,770"
14,20191022,2.57,2.55,19,2.57,"43,528"
15,20191021,2.57,2.54,25,2.57,"87,286"
16,20191018,2.57,2.54,19,2.56,"35,000"
17,20191017,2.57,2.53,48,2.57,"150,600"
18,20191016,2.58,2.54,69,2.58,"171,680"
19,20191015,2.57,2.55,56,2.57,"213,966"
20,20191014,2.61,2.56,50,2.6,"203,000"
21,20191009,2.6,2.56,64,2.6,"249,269"
22,20191008,2.61,2.54,66,2.6,"229,649"
23,20191007,2.61,2.56,57,2.61,"122,107"
24,20191004,2.6,2.54,81,2.6,"271,289"
25,20191003,2.62,2.58,34,2.62,"86,043"
26,20191002,2.64,2.59,49,2.64,"140,679"
27,20190927,2.64,2.6,98,2.64,"210,754"
28,20190926,2.64,2.61,81,2.61,"378,567"
29,20190925,2.67,2.63,48,2.67,"224,625"
30,20190924,2.67,2.62,75,2.67,"331,404"
31,20190923,2.67,2.62,54,2.67,"251,135"
32,20190920,2.67,2.62,56,2.67,"247,562"
33,20190919,2.65,2.62,46,2.63,"177,456"
34,20190918,2.66,2.62,94,2.66,"344,798"
35,20190917,2.67,2.6,72,2.67,"337,331"
36,20190916,2.68,2.63,42,2.66,"151,002"
37,20190912,2.67,2.62,62,2.66,"200,075"
38,20190911,2.68,2.6,76,2.68,"371,505"
39,20190910,2.67,2.61,53,2.66,"155,877"
40,20190909,2.67,2.58,96,2.67,"487,577"
41,20190906,2.67,2.63,36,2.67,"115,677"
42,20190905,2.68,2.62,67,2.68,"180,294"
43,20190904,2.68,2.63,58,2.68,"240,043"
44,20190903,2.71,2.63,58,2.68,"201,999"
45,20190902,2.71,2.63,77,2.71,"323,563"
46,20190830,2.68,2.61,49,2.68,"218,347"
47,20190829,2.66,2.61,44,2.66,"150,815"
48,20190828,2.67,2.61,52,2.67,"197,000"
49,20190827,2.68,2.61,50,2.66,"188,641"
50,20190826,2.68,2.58,44,2.64,"127,499"
51,20190823,2.7,2.62,38,2.68,"113,055"
52,20190822,2.72,2.64,31,2.68,"70,962"
53,20190821,2.69,2.6,83,2.68,"217,737"
54,20190820,2.67,2.52,116,2.67,"438,574"
55,20190819,2.56,2.51,73,2.56,"205,528"
56,20190816,2.57,2.51,71,2.56,"198,225"
57,20190815,2.57,2.52,40,2.57,"112,500"
58,20190814,2.58,2.52,87,2.57,"254,857"
59,20190813,2.58,2.5,58,2.58,"168,471"
60,20190812,2.62,2.51,95,2.58,"299,000"
61,20190808,2.63,2.56,44,2.6,"142,859"
62,20190807,2.67,2.56,43,2.56,"118,200"
63,20190806,2.69,2.56,50,2.59,"145,500"
64,20190805,2.77,2.64,67,2.72,"195,543"
