,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,111,"209,800","5,373,117",25.85,20191113.0,25.40,25.85,6.13,0.20,1437,勤益控,25.65
1,20191112.0,25.65,25.3,117,25.65,"179,549",,,,,,,,,,,,
2,20191111.0,26.05,25.45,281,25.5,"584,151",,,,,,,,,,,,
3,20191108.0,26.25,25.85,106,26.05,"161,579",,,,,,,,,,,,
4,20191107.0,26.1,25.75,103,25.9,"170,932",,,,,,,,,,,,
5,20191106.0,26.3,25.9,199,25.95,"514,558",,,,,,,,,,,,
6,20191105.0,26.4,26.1,173,26.15,"392,394",,,,,,,,,,,,
7,20191104.0,27.15,26.15,378,26.25,"747,101",,,,,,,,,,,,
8,20191101.0,26.2,25.9,85,26.15,"127,143",,,,,,,,,,,,
9,20191031.0,26.5,25.9,140,25.95,"257,441",,,,,,,,,,,,
10,20191030.0,26.3,25.95,136,26.1,"245,172",,,,,,,,,,,,
11,20191029.0,26.55,25.9,360,25.95,"906,320",,,,,,,,,,,,
12,20191028.0,26.7,26.25,380,26.3,"1,029,150",,,,,,,,,,,,
13,20191025.0,27.4,26.6,515,26.85,"1,014,276",,,,,,,,,,,,
14,20191024.0,27.2,25.95,"1,162",27.1,"2,339,651",,,,,,,,,,,,
15,20191023.0,26.45,25.65,637,25.75,"1,349,342",,,,,,,,,,,,
16,20191022.0,27.9,25.95,"2,674",26.4,"5,282,441",,,,,,,,,,,,
17,20191021.0,26.75,24.5,984,26.75,"3,498,329",,,,,,,,,,,,
18,20191018.0,24.75,24.15,278,24.35,"538,798",,,,,,,,,,,,
19,20191017.0,24.3,23.5,317,24.2,"574,439",,,,,,,,,,,,
20,20191016.0,23.75,23.05,270,23.55,"561,288",,,,,,,,,,,,
21,20191015.0,23.0,22.85,67,23.0,"174,297",,,,,,,,,,,,
22,20191014.0,23.0,22.8,92,22.95,"207,197",,,,,,,,,,,,
23,20191009.0,22.6,22.5,46,22.6,"106,300",,,,,,,,,,,,
24,20191008.0,22.7,22.4,79,22.6,"257,151",,,,,,,,,,,,
25,20191007.0,22.6,22.5,43,22.55,"124,101",,,,,,,,,,,,
26,20191004.0,22.5,22.45,57,22.5,"92,463",,,,,,,,,,,,
27,20191003.0,22.6,22.45,55,22.45,"89,550",,,,,,,,,,,,
28,20191002.0,22.6,22.45,40,22.6,"117,549",,,,,,,,,,,,
29,20190927.0,22.8,22.45,221,22.45,"432,850",,,,,,,,,,,,
30,20190926.0,22.95,22.8,102,22.8,"207,303",,,,,,,,,,,,
31,20190925.0,23.0,22.85,76,23.0,"142,353",,,,,,,,,,,,
32,20190924.0,23.15,22.85,71,23.0,"135,885",,,,,,,,,,,,
33,20190923.0,23.15,23.0,60,23.15,"109,600",,,,,,,,,,,,
34,20190920.0,23.2,23.05,83,23.15,"172,331",,,,,,,,,,,,
35,20190919.0,23.3,22.95,128,23.1,"207,446",,,,,,,,,,,,
36,20190918.0,23.1,22.65,182,23.05,"313,744",,,,,,,,,,,,
37,20190917.0,22.65,22.55,79,22.65,"185,234",,,,,,,,,,,,
38,20190916.0,22.75,22.6,107,22.65,"210,995",,,,,,,,,,,,
39,20190912.0,22.65,22.5,85,22.65,"177,250",,,,,,,,,,,,
40,20190911.0,22.65,22.5,147,22.6,"270,582",,,,,,,,,,,,
41,20190910.0,22.7,22.55,99,22.65,"151,005",,,,,,,,,,,,
42,20190909.0,22.8,22.6,122,22.6,"293,457",,,,,,,,,,,,
43,20190906.0,22.8,22.7,97,22.8,"183,906",,,,,,,,,,,,
44,20190905.0,22.9,22.75,94,22.75,"232,000",,,,,,,,,,,,
45,20190904.0,22.9,22.8,140,22.9,"336,410",,,,,,,,,,,,
46,20190903.0,23.0,22.85,59,22.9,"94,394",,,,,,,,,,,,
47,20190902.0,23.0,22.85,86,22.9,"151,565",,,,,,,,,,,,
48,20190830.0,23.0,22.85,104,22.9,"184,319",,,,,,,,,,,,
49,20190829.0,23.0,22.85,66,22.9,"81,240",,,,,,,,,,,,
50,20190828.0,23.0,22.8,86,22.9,"379,050",,,,,,,,,,,,
51,20190827.0,22.95,22.7,125,22.85,"232,746",,,,,,,,,,,,
52,20190826.0,22.95,22.65,118,22.95,"269,001",,,,,,,,,,,,
53,20190823.0,23.35,23.1,100,23.2,"274,706",,,,,,,,,,,,
54,20190822.0,23.2,22.95,128,23.15,"287,829",,,,,,,,,,,,
55,20190821.0,23.0,22.85,99,23.0,"284,300",,,,,,,,,,,,
56,20190820.0,23.05,22.85,106,22.95,"323,763",,,,,,,,,,,,
57,20190819.0,23.35,22.9,176,23.05,"520,643",,,,,,,,,,,,
58,20190816.0,23.0,22.7,166,22.9,"193,946",,,,,,,,,,,,
59,20190815.0,23.2,22.55,345,23.0,"686,897",,,,,,,,,,,,
60,20190814.0,23.8,23.15,229,23.35,"430,578",,,,,,,,,,,,
61,20190813.0,23.9,23.35,353,23.5,"672,569",,,,,,,,,,,,
62,20190812.0,24.2,23.25,679,23.7,"1,668,959",,,,,,,,,,,,
63,20190808.0,22.75,22.6,77,22.75,"185,082",,,,,,,,,,,,
64,20190807.0,22.8,22.55,68,22.6,"175,356",,,,,,,,,,,,
65,20190806.0,22.7,22.1,92,22.7,"176,338",,,,,,,,,,,,
66,20190805.0,22.95,22.6,86,22.8,"121,762",,,,,,,,,,,,
