,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,20.05,19.65,213,19.90,"364,594"
1,20191108,20.15,20.0,166,20.05,"377,662"
2,20191107,20.35,20.1,183,20.1,"342,505"
3,20191106,20.5,20.2,319,20.25,"853,841"
4,20191105,20.8,20.65,102,20.7,"244,164"
5,20191104,20.8,20.55,120,20.7,"279,438"
6,20191101,20.7,20.4,100,20.65,"245,872"
7,20191031,20.9,20.45,232,20.45,"431,905"
8,20191030,20.9,20.65,97,20.8,"127,756"
9,20191029,20.95,20.65,147,20.65,"255,480"
10,20191028,21.05,20.8,92,20.9,"195,339"
11,20191025,21.0,20.85,77,20.9,"172,000"
12,20191024,21.0,20.8,101,21.0,"195,195"
13,20191023,21.0,20.8,115,20.85,"225,400"
14,20191022,21.15,20.85,154,20.9,"267,854"
15,20191021,21.1,20.7,116,21.1,"201,537"
16,20191018,20.9,20.7,101,20.8,"170,384"
17,20191017,21.0,20.65,124,20.8,"205,600"
18,20191016,21.15,20.8,150,20.85,"255,911"
19,20191015,21.1,20.9,104,21.05,"294,026"
20,20191014,21.25,20.8,153,21.05,"332,435"
21,20191009,20.95,20.55,135,20.75,"317,005"
22,20191008,21.1,20.8,207,20.8,"476,939"
23,20191007,21.25,20.95,415,21.0,"825,467"
24,20191004,21.7,21.3,263,21.4,"520,909"
25,20191003,21.7,21.3,166,21.65,"285,853"
26,20191002,21.7,21.2,197,21.7,"337,134"
27,20190927,22.1,21.35,439,21.4,"865,218"
28,20190926,22.35,21.9,312,21.95,"601,136"
29,20190925,22.65,22.05,421,22.1,"938,975"
30,20190924,23.2,22.45,"1,010",22.45,"1,998,967"
31,20190923,22.75,22.4,444,22.65,"852,662"
32,20190920,22.8,22.45,540,22.45,"1,099,571"
33,20190919,22.6,22.2,560,22.55,"1,036,402"
34,20190918,22.5,22.0,389,22.15,"676,926"
35,20190917,22.65,22.0,428,22.0,"824,188"
36,20190916,22.6,22.1,560,22.35,"1,095,128"
37,20190912,22.85,22.2,"2,764",22.5,"6,187,964"
38,20190911,22.15,21.7,464,21.95,"924,158"
39,20190910,21.8,21.5,262,21.7,"487,239"
40,20190909,22.0,21.7,642,21.7,"1,381,934"
41,20190906,21.65,21.35,194,21.4,"414,195"
42,20190905,21.7,21.4,292,21.5,"740,573"
43,20190904,21.45,21.25,176,21.4,"318,361"
44,20190903,21.5,21.2,180,21.3,"301,006"
45,20190902,21.45,21.15,233,21.4,"431,190"
46,20190830,21.55,21.2,270,21.35,"462,106"
47,20190829,21.3,20.95,208,21.0,"464,626"
48,20190828,21.5,21.1,224,21.15,"416,007"
49,20190827,21.7,21.25,401,21.25,"1,102,740"
50,20190826,21.45,21.05,425,21.05,"971,009"
51,20190823,22.2,21.65,"1,001",21.65,"2,358,440"
52,20190822,22.0,21.6,551,21.65,"1,628,801"
53,20190821,22.0,21.45,"1,840",21.7,"4,098,650"
54,20190820,21.6,21.2,416,21.35,"1,096,361"
55,20190819,21.75,21.25,460,21.35,"1,034,450"
56,20190816,21.85,21.5,"1,882",21.65,"4,542,491"
57,20190815,21.4,20.25,763,21.4,"1,605,784"
58,20190814,21.35,20.7,560,20.7,"1,157,050"
59,20190813,21.75,21.0,"1,370",21.0,"2,995,631"
60,20190812,21.35,20.35,813,21.35,"1,849,242"
61,20190808,20.7,20.35,270,20.55,"517,666"
62,20190807,20.75,20.0,"1,353",20.35,"2,873,579"
63,20190806,19.95,18.6,634,19.9,"1,316,434"
64,20190805,19.6,18.9,286,18.95,"582,437"
