,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,22,"21,300","508,530",23.90,20191113.0,23.80,23.90,23.20,0.05,4106,雃博,23.90
1,20191112.0,24.0,23.85,26.0,23.85,"45,160",,,,,,,,,,,,
2,20191111.0,24.15,23.9,58.0,24.0,"74,187",,,,,,,,,,,,
3,20191108.0,23.9,23.7,64.0,23.9,"90,663",,,,,,,,,,,,
4,20191107.0,23.75,23.6,45.0,23.65,"72,303",,,,,,,,,,,,
5,20191106.0,23.9,23.7,33.0,23.9,"39,254",,,,,,,,,,,,
6,20191105.0,23.75,23.65,29.0,23.75,"25,867",,,,,,,,,,,,
7,20191104.0,23.8,23.6,56.0,23.8,"86,000",,,,,,,,,,,,
8,20191101.0,23.8,23.55,47.0,23.7,"48,113",,,,,,,,,,,,
9,20191031.0,23.9,23.7,51.0,23.7,"78,141",,,,,,,,,,,,
10,20191030.0,24.0,23.7,42.0,24.0,"53,001",,,,,,,,,,,,
11,20191029.0,24.0,23.9,31.0,23.95,"38,129",,,,,,,,,,,,
12,20191028.0,23.95,23.8,23.0,23.95,"47,300",,,,,,,,,,,,
13,20191025.0,23.9,23.8,30.0,23.8,"40,100",,,,,,,,,,,,
14,20191024.0,23.75,23.5,55.0,23.75,"57,832",,,,,,,,,,,,
15,20191023.0,23.9,23.65,30.0,23.7,"41,727",,,,,,,,,,,,
16,20191022.0,23.95,23.85,31.0,23.9,"26,168",,,,,,,,,,,,
17,20191021.0,24.05,23.8,33.0,23.95,"52,300",,,,,,,,,,,,
18,20191018.0,23.95,23.65,58.0,23.95,"82,271",,,,,,,,,,,,
19,20191017.0,23.6,23.25,63.0,23.6,"111,230",,,,,,,,,,,,
20,20191016.0,23.5,23.1,77.0,23.5,"119,300",,,,,,,,,,,,
21,20191015.0,23.55,23.2,128.0,23.3,"211,500",,,,,,,,,,,,
22,20191014.0,23.65,23.5,57.0,23.55,"74,167",,,,,,,,,,,,
23,20191009.0,23.7,23.6,36.0,23.6,"39,195",,,,,,,,,,,,
24,20191008.0,23.9,23.65,60.0,23.65,"75,300",,,,,,,,,,,,
25,20191007.0,24.0,23.85,54.0,23.85,"66,550",,,,,,,,,,,,
26,20191004.0,24.15,23.9,49.0,24.0,"58,480",,,,,,,,,,,,
27,20191003.0,24.1,24.0,27.0,24.0,"24,885",,,,,,,,,,,,
28,20191002.0,24.3,24.05,33.0,24.15,"32,670",,,,,,,,,,,,
29,20190927.0,24.45,24.2,36.0,24.2,"60,000",,,,,,,,,,,,
30,20190926.0,24.45,24.3,28.0,24.45,"44,203",,,,,,,,,,,,
31,20190925.0,24.5,24.15,60.0,24.4,"95,100",,,,,,,,,,,,
32,20190924.0,24.6,24.45,45.0,24.5,"58,512",,,,,,,,,,,,
33,20190923.0,24.55,24.25,61.0,24.35,"70,748",,,,,,,,,,,,
34,20190920.0,24.5,24.35,43.0,24.45,"58,565",,,,,,,,,,,,
35,20190919.0,24.65,24.35,38.0,24.5,"39,290",,,,,,,,,,,,
36,20190918.0,24.75,24.5,113.0,24.5,"185,005",,,,,,,,,,,,
37,20190917.0,24.8,24.6,33.0,24.75,"55,310",,,,,,,,,,,,
38,20190916.0,24.8,24.7,29.0,24.8,"40,079",,,,,,,,,,,,
39,20190912.0,24.9,24.65,51.0,24.8,"59,401",,,,,,,,,,,,
40,20190911.0,24.95,24.75,39.0,24.9,"67,000",,,,,,,,,,,,
41,20190910.0,25.1,24.9,22.0,24.95,"19,575",,,,,,,,,,,,
42,20190909.0,25.1,24.85,21.0,25.05,"28,002",,,,,,,,,,,,
43,20190906.0,25.2,25.0,48.0,25.1,"60,273",,,,,,,,,,,,
44,20190905.0,25.3,25.0,80.0,25.3,"120,239",,,,,,,,,,,,
45,20190904.0,25.05,24.8,34.0,24.9,"61,000",,,,,,,,,,,,
46,20190903.0,24.8,24.6,36.0,24.7,"38,767",,,,,,,,,,,,
47,20190902.0,24.75,24.55,30.0,24.7,"38,550",,,,,,,,,,,,
48,20190830.0,24.7,24.55,41.0,24.55,"50,900",,,,,,,,,,,,
49,20190829.0,24.75,24.5,33.0,24.65,"41,304",,,,,,,,,,,,
50,20190828.0,24.7,24.5,28.0,24.65,"41,100",,,,,,,,,,,,
51,20190827.0,24.75,24.45,36.0,24.6,"62,098",,,,,,,,,,,,
52,20190826.0,24.6,24.4,44.0,24.45,"51,200",,,,,,,,,,,,
53,20190823.0,25.0,24.85,13.0,24.95,"17,100",,,,,,,,,,,,
54,20190822.0,25.15,24.75,20.0,25.0,"27,060",,,,,,,,,,,,
55,20190821.0,24.95,24.65,42.0,24.95,"49,398",,,,,,,,,,,,
56,20190820.0,24.7,24.45,40.0,24.65,"46,800",,,,,,,,,,,,
57,20190819.0,24.75,24.5,37.0,24.6,"75,100",,,,,,,,,,,,
58,20190816.0,24.6,24.4,39.0,24.55,"48,100",,,,,,,,,,,,
59,20190815.0,24.85,24.5,36.0,24.5,"53,000",,,,,,,,,,,,
60,20190814.0,24.95,24.5,100.0,24.9,"191,140",,,,,,,,,,,,
61,20190813.0,25.45,25.35,14.0,25.45,"20,000",,,,,,,,,,,,
62,20190812.0,25.4,25.1,33.0,25.4,"52,000",,,,,,,,,,,,
63,20190808.0,25.3,25.1,29.0,25.3,"50,089",,,,,,,,,,,,
64,20190807.0,25.45,25.0,43.0,25.25,"48,320",,,,,,,,,,,,
65,20190806.0,25.25,24.6,62.0,25.25,"86,538",,,,,,,,,,,,
66,20190805.0,25.6,25.5,32.0,25.5,"43,100",,,,,,,,,,,,
