,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,1,"2,000","42,000",21.00,20191113.0,21.00,21.00,22.83,0.00,1470,大統新創,21.00
1,20191112.0,--,--,0.0,--,0,,,,,,,,,,,,
2,20191111.0,--,--,0.0,--,0,,,,,,,,,,,,
3,20191108.0,22.55,21.50,4.0,21.55,"8,000",,,,,,,,,,,,
4,20191107.0,21.70,21.70,2.0,21.70,"2,000",,,,,,,,,,,,
5,20191106.0,23.45,22.00,5.0,22.00,"7,000",,,,,,,,,,,,
6,20191105.0,23.10,21.60,15.0,21.60,"22,360",,,,,,,,,,,,
7,20191104.0,21.60,21.60,5.0,21.60,"19,000",,,,,,,,,,,,
8,20191101.0,--,--,0.0,--,0,,,,,,,,,,,,
9,20191031.0,21.45,21.40,5.0,21.40,"31,000",,,,,,,,,,,,
10,20191030.0,21.95,21.95,1.0,21.95,"1,000",,,,,,,,,,,,
11,20191029.0,21.60,21.60,5.0,21.60,"30,001",,,,,,,,,,,,
12,20191028.0,21.70,21.55,7.0,21.60,"13,000",,,,,,,,,,,,
13,20191025.0,22.20,21.95,2.0,21.95,"2,000",,,,,,,,,,,,
14,20191024.0,--,--,0.0,--,0,,,,,,,,,,,,
15,20191023.0,21.30,20.95,10.0,21.10,"12,000",,,,,,,,,,,,
16,20191022.0,--,--,0.0,--,0,,,,,,,,,,,,
17,20191021.0,21.60,21.00,2.0,21.60,"2,000",,,,,,,,,,,,
18,20191018.0,21.65,21.30,7.0,21.60,"14,267",,,,,,,,,,,,
19,20191017.0,--,--,0.0,--,0,,,,,,,,,,,,
20,20191016.0,22.05,22.00,8.0,22.05,"8,000",,,,,,,,,,,,
21,20191015.0,--,--,0.0,--,0,,,,,,,,,,,,
22,20191014.0,21.50,21.50,4.0,21.50,"10,000",,,,,,,,,,,,
23,20191009.0,--,--,0.0,--,0,,,,,,,,,,,,
24,20191008.0,21.35,21.35,1.0,21.35,"1,000",,,,,,,,,,,,
25,20191007.0,21.00,20.95,2.0,20.95,"2,000",,,,,,,,,,,,
26,20191004.0,20.85,20.85,1.0,20.85,"1,000",,,,,,,,,,,,
27,20191003.0,--,--,0.0,--,0,,,,,,,,,,,,
28,20191002.0,--,--,0.0,--,0,,,,,,,,,,,,
29,20190927.0,21.65,21.15,11.0,21.20,"11,000",,,,,,,,,,,,
30,20190926.0,22.25,22.15,3.0,22.15,"2,001",,,,,,,,,,,,
31,20190925.0,--,--,0.0,--,0,,,,,,,,,,,,
32,20190924.0,21.60,21.60,2.0,21.60,"1,001",,,,,,,,,,,,
33,20190923.0,22.00,22.00,3.0,22.00,"9,000",,,,,,,,,,,,
34,20190920.0,22.15,22.10,4.0,22.15,"9,000",,,,,,,,,,,,
35,20190919.0,22.50,21.95,6.0,21.95,"7,000",,,,,,,,,,,,
36,20190918.0,22.05,22.05,2.0,22.05,"2,000",,,,,,,,,,,,
37,20190917.0,22.50,22.15,4.0,22.15,"3,012",,,,,,,,,,,,
38,20190916.0,21.65,20.95,2.0,20.95,"2,000",,,,,,,,,,,,
39,20190912.0,21.65,21.65,1.0,21.65,"1,000",,,,,,,,,,,,
40,20190911.0,22.30,21.50,5.0,21.80,"4,818",,,,,,,,,,,,
41,20190910.0,21.30,21.25,3.0,21.25,"5,000",,,,,,,,,,,,
42,20190909.0,21.80,21.70,5.0,21.70,"6,001",,,,,,,,,,,,
43,20190906.0,21.85,21.85,3.0,21.85,"1,571",,,,,,,,,,,,
44,20190905.0,23.25,23.25,2.0,23.25,"2,000",,,,,,,,,,,,
45,20190904.0,--,--,0.0,--,0,,,,,,,,,,,,
46,20190903.0,23.35,23.35,2.0,23.35,"1,014",,,,,,,,,,,,
47,20190902.0,--,--,0.0,--,0,,,,,,,,,,,,
48,20190830.0,22.65,22.00,5.0,22.65,"6,000",,,,,,,,,,,,
49,20190829.0,21.60,20.80,8.0,21.60,"8,000",,,,,,,,,,,,
50,20190828.0,22.80,22.80,5.0,22.80,"1,988",,,,,,,,,,,,
51,20190827.0,--,--,0.0,--,0,,,,,,,,,,,,
52,20190826.0,21.50,21.50,2.0,21.50,"1,001",,,,,,,,,,,,
53,20190823.0,--,--,0.0,--,0,,,,,,,,,,,,
54,20190822.0,22.20,22.00,3.0,22.00,"6,005",,,,,,,,,,,,
55,20190821.0,22.10,21.20,14.0,22.10,"14,216",,,,,,,,,,,,
56,20190820.0,--,--,0.0,--,0,,,,,,,,,,,,
57,20190819.0,21.55,21.35,4.0,21.35,"5,000",,,,,,,,,,,,
58,20190816.0,22.25,22.10,3.0,22.10,"5,000",,,,,,,,,,,,
59,20190815.0,22.15,22.15,1.0,22.15,"1,000",,,,,,,,,,,,
60,20190814.0,21.55,21.55,3.0,21.55,"1,213",,,,,,,,,,,,
61,20190813.0,21.30,20.60,3.0,21.30,"3,000",,,,,,,,,,,,
62,20190812.0,21.95,21.95,3.0,21.95,"4,000",,,,,,,,,,,,
63,20190808.0,--,--,1.0,--,1,,,,,,,,,,,,
64,20190807.0,22.15,22.15,5.0,22.15,"7,000",,,,,,,,,,,,
65,20190806.0,22.7,20.5,24.0,22.0,"25,499",,,,,,,,,,,,
66,20190805.0,22.85,21.7,7.0,21.7,"7,000",,,,,,,,,,,,
