,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,37.20,36.75,47,36.80,"54,301"
1,20191111,37.0,36.75,72,36.75,"87,587"
2,20191108,37.45,36.8,97,37.0,"127,457"
3,20191107,37.55,37.3,41,37.4,"50,010"
4,20191106,37.75,37.5,29,37.65,"27,020"
5,20191105,38.3,37.5,101,37.5,"167,500"
6,20191104,38.1,37.75,55,38.0,"66,640"
7,20191101,37.95,37.75,20,37.75,"18,200"
8,20191031,38.0,37.7,55,37.95,"73,080"
9,20191030,38.0,37.8,40,37.8,"49,320"
10,20191029,38.4,38.0,57,38.0,"77,280"
11,20191028,38.5,38.15,65,38.35,"83,720"
12,20191025,38.5,38.25,72,38.25,"117,200"
13,20191024,38.65,38.4,80,38.5,"119,401"
14,20191023,38.8,38.15,144,38.4,"197,577"
15,20191022,38.35,37.9,117,38.3,"179,965"
16,20191021,38.0,37.65,49,37.75,"90,000"
17,20191018,38.0,37.7,49,37.7,"75,090"
18,20191017,38.1,37.8,20,37.8,"22,120"
19,20191016,38.2,37.75,82,37.85,"89,280"
20,20191015,38.1,37.2,153,38.1,"176,480"
21,20191014,37.7,36.85,79,37.2,"113,160"
22,20191009,37.85,36.85,146,37.25,"221,040"
23,20191008,37.75,37.3,77,37.45,"92,761"
24,20191007,38.2,37.7,56,37.75,"64,590"
25,20191004,38.0,37.6,49,37.65,"60,065"
26,20191003,38.3,37.6,76,37.7,"81,480"
27,20191002,38.4,38.05,44,38.15,"58,080"
28,20190927,38.05,37.5,109,37.5,"140,355"
29,20190926,38.2,38.0,47,38.0,"53,920"
30,20190925,38.35,37.8,79,37.85,"109,160"
31,20190924,38.5,38.2,40,38.3,"48,040"
32,20190923,38.7,38.1,133,38.15,"186,703"
33,20190920,38.9,38.4,81,38.5,"90,531"
34,20190919,39.2,38.8,96,38.85,"102,678"
35,20190918,39.0,38.45,112,38.8,"138,580"
36,20190917,38.95,38.2,123,38.7,"151,450"
37,20190916,39.5,38.5,185,38.8,"225,420"
38,20190912,39.15,38.5,209,38.95,"284,279"
39,20190911,38.6,38.3,86,38.35,"109,200"
40,20190910,39.3,38.4,379,38.6,"560,200"
41,20190909,38.45,38.1,97,38.4,"144,360"
42,20190906,38.1,37.75,75,38.0,"84,860"
43,20190905,38.7,37.7,157,37.75,"226,336"
44,20190904,38.5,37.9,98,38.3,"147,190"
45,20190903,38.7,37.8,182,38.25,"250,150"
46,20190902,38.55,37.4,207,38.4,"315,148"
47,20190830,37.5,37.15,84,37.4,"113,236"
48,20190829,37.45,36.8,70,37.2,"82,162"
49,20190828,37.4,37.05,46,37.15,"48,241"
50,20190827,37.75,37.0,50,37.0,"58,171"
51,20190826,37.0,36.45,86,36.5,"108,401"
52,20190823,38.2,37.65,122,37.65,"189,103"
53,20190822,38.3,37.75,75,38.0,"106,397"
54,20190821,38.5,37.4,101,38.15,"127,160"
55,20190820,38.45,37.5,169,38.15,"253,404"
56,20190819,37.65,37.35,71,37.6,"112,530"
57,20190816,37.7,36.55,137,37.3,"172,140"
58,20190815,36.8,36.25,40,36.55,"52,100"
59,20190814,36.9,36.75,52,36.8,"75,262"
60,20190813,36.8,36.35,59,36.5,"88,001"
61,20190812,37.0,36.35,88,36.75,"118,050"
62,20190808,37.3,36.05,374,36.4,"560,400"
63,20190807,38.05,37.2,95,37.5,"148,000"
64,20190806,38.4,37.4,158,38.05,"223,340"
65,20190805,38.15,37.6,109,38.0,"162,040"
