,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,4,"3,176","74,847",23.85,20191113.0,23.30,23.85,113.57,0.20,3054,立萬利,23.50
1,20191112.0,24.00,23.60,3.0,23.65,"3,000",,,,,,,,,,,,
2,20191111.0,23.80,23.00,9.0,23.55,"13,000",,,,,,,,,,,,
3,20191108.0,23.90,23.60,13.0,23.60,"17,080",,,,,,,,,,,,
4,20191107.0,24.00,23.60,5.0,23.65,"4,714",,,,,,,,,,,,
5,20191106.0,24.15,23.65,3.0,23.70,"3,000",,,,,,,,,,,,
6,20191105.0,23.65,23.45,14.0,23.45,"14,743",,,,,,,,,,,,
7,20191104.0,24.50,23.70,9.0,23.90,"14,000",,,,,,,,,,,,
8,20191101.0,24.20,23.75,12.0,24.10,"26,690",,,,,,,,,,,,
9,20191031.0,23.50,23.45,8.0,23.45,"8,000",,,,,,,,,,,,
10,20191030.0,24.75,23.80,13.0,24.00,"12,459",,,,,,,,,,,,
11,20191029.0,24.35,24.35,1.0,24.35,"1,000",,,,,,,,,,,,
12,20191028.0,24.80,23.90,5.0,24.20,"3,343",,,,,,,,,,,,
13,20191025.0,24.20,23.70,10.0,24.20,"13,743",,,,,,,,,,,,
14,20191024.0,24.10,23.35,16.0,23.70,"17,514",,,,,,,,,,,,
15,20191023.0,24.80,23.90,9.0,24.10,"7,072",,,,,,,,,,,,
16,20191022.0,24.80,24.60,4.0,24.60,"3,377",,,,,,,,,,,,
17,20191021.0,--,--,0.0,--,0,,,,,,,,,,,,
18,20191018.0,25.0,24.85,7.0,24.9,"7,000",,,,,,,,,,,,
19,20191017.0,25.2,24.95,3.0,25.0,"3,000",,,,,,,,,,,,
20,20191016.0,25.25,24.5,17.0,25.0,"21,743",,,,,,,,,,,,
21,20191015.0,24.95,24.95,2.0,24.95,"3,000",,,,,,,,,,,,
22,20191014.0,25.6,24.8,13.0,25.15,"14,000",,,,,,,,,,,,
23,20191009.0,25.05,24.8,12.0,24.8,"12,000",,,,,,,,,,,,
24,20191008.0,25.4,24.9,22.0,25.1,"29,743",,,,,,,,,,,,
25,20191007.0,25.0,24.9,8.0,25.0,"8,000",,,,,,,,,,,,
26,20191004.0,25.2,25.0,28.0,25.05,"36,000",,,,,,,,,,,,
27,20191003.0,25.65,25.4,3.0,25.4,"3,000",,,,,,,,,,,,
28,20191002.0,25.8,25.4,17.0,25.4,"25,003",,,,,,,,,,,,
29,20190927.0,25.85,25.3,15.0,25.5,"24,000",,,,,,,,,,,,
30,20190926.0,26.2,25.75,15.0,26.2,"15,112",,,,,,,,,,,,
31,20190925.0,27.0,26.2,53.0,26.2,"67,518",,,,,,,,,,,,
32,20190924.0,25.9,25.65,9.0,25.9,"9,230",,,,,,,,,,,,
33,20190923.0,26.0,25.6,9.0,25.8,"10,214",,,,,,,,,,,,
34,20190920.0,26.1,25.7,19.0,25.7,"22,000",,,,,,,,,,,,
35,20190919.0,25.8,25.4,22.0,25.8,"42,692",,,,,,,,,,,,
36,20190918.0,25.95,25.35,25.0,25.4,"28,230",,,,,,,,,,,,
37,20190917.0,25.5,25.5,9.0,25.5,"7,516",,,,,,,,,,,,
38,20190916.0,26.0,25.3,18.0,25.8,"24,000",,,,,,,,,,,,
39,20190912.0,26.25,25.7,9.0,25.7,"9,000",,,,,,,,,,,,
40,20190911.0,26.2,25.75,8.0,25.75,"11,000",,,,,,,,,,,,
41,20190910.0,26.2,25.8,8.0,26.0,"9,000",,,,,,,,,,,,
42,20190909.0,26.3,25.95,24.0,26.1,"28,693",,,,,,,,,,,,
43,20190906.0,27.1,25.75,88.0,25.95,"102,284",,,,,,,,,,,,
44,20190905.0,25.4,25.1,23.0,25.35,"26,743",,,,,,,,,,,,
45,20190904.0,25.8,25.3,28.0,25.35,"28,797",,,,,,,,,,,,
46,20190903.0,26.3,25.6,13.0,25.65,"14,000",,,,,,,,,,,,
47,20190902.0,26.15,25.65,13.0,25.95,"11,716",,,,,,,,,,,,
48,20190830.0,26.2,25.6,34.0,25.8,"37,269",,,,,,,,,,,,
49,20190829.0,26.3,25.0,93.0,25.65,"111,888",,,,,,,,,,,,
50,20190828.0,27.0,26.3,63.0,26.3,"69,919",,,,,,,,,,,,
51,20190827.0,27.3,25.9,369.0,26.35,"483,322",,,,,,,,,,,,
52,20190826.0,27.4,27.15,248.0,27.4,"533,602",,,,,,,,,,,,
53,20190823.0,24.95,24.95,61.0,24.95,"83,113",,,,,,,,,,,,
54,20190822.0,22.9,22.7,2.0,22.7,"2,000",,,,,,,,,,,,
55,20190821.0,23.05,22.6,16.0,23.0,"15,001",,,,,,,,,,,,
56,20190820.0,23.1,22.65,7.0,23.0,"5,716",,,,,,,,,,,,
57,20190819.0,23.2,22.45,27.0,23.1,"35,189",,,,,,,,,,,,
58,20190816.0,23.35,23.2,8.0,23.25,"7,054",,,,,,,,,,,,
59,20190815.0,23.75,23.7,5.0,23.7,"3,743",,,,,,,,,,,,
60,20190814.0,23.8,23.8,2.0,23.8,"2,000",,,,,,,,,,,,
61,20190813.0,23.95,23.8,3.0,23.8,"3,000",,,,,,,,,,,,
62,20190812.0,24.0,24.0,2.0,24.0,"2,000",,,,,,,,,,,,
63,20190808.0,24.0,23.5,6.0,24.0,"5,380",,,,,,,,,,,,
64,20190807.0,23.9,23.9,3.0,23.9,"3,000",,,,,,,,,,,,
65,20190806.0,23.8,23.25,7.0,23.8,"4,743",,,,,,,,,,,,
66,20190805.0,24.0,24.0,2.0,24.0,"1,001",,,,,,,,,,,,
