,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,10.80,10.65,245,10.70,"1,062,000"
1,20191111,11.05,10.65,376,10.65,"855,110"
2,20191108,10.95,10.8,156,10.85,"326,269"
3,20191107,11.05,10.85,260,10.85,"588,241"
4,20191106,11.05,10.85,238,10.85,"453,303"
5,20191105,11.05,10.95,289,11.0,"661,751"
6,20191104,11.25,10.9,455,10.9,"1,150,888"
7,20191101,11.4,11.1,321,11.15,"651,629"
8,20191031,11.6,11.2,887,11.3,"2,852,401"
9,20191030,11.55,11.25,761,11.45,"1,545,426"
10,20191029,12.5,11.45,"4,809",11.55,"13,282,845"
11,20191028,11.9,11.6,"1,309",11.9,"5,293,347"
12,20191025,10.95,10.8,196,10.85,"414,000"
13,20191024,10.95,10.85,139,10.85,"298,100"
14,20191023,11.0,10.85,247,10.95,"616,541"
15,20191022,10.9,10.8,125,10.8,"258,083"
16,20191021,10.9,10.85,163,10.85,"363,035"
17,20191018,11.1,10.75,703,10.9,"2,676,561"
18,20191017,10.8,10.7,144,10.8,"301,521"
19,20191016,10.9,10.65,614,10.8,"2,162,000"
20,20191015,10.65,10.55,319,10.65,"594,629"
21,20191014,10.8,10.5,384,10.5,"1,308,100"
22,20191009,10.75,10.55,236,10.65,"680,551"
23,20191008,10.9,10.75,239,10.75,"532,099"
24,20191007,10.75,10.6,169,10.7,"402,731"
25,20191004,10.9,10.65,220,10.7,"442,304"
26,20191003,10.95,10.55,549,10.8,"1,508,185"
27,20191002,10.75,10.55,186,10.65,"397,775"
28,20190927,11.15,10.5,759,10.55,"1,807,437"
29,20190926,11.25,11.05,282,11.1,"658,200"
30,20190925,11.35,11.1,363,11.15,"962,524"
31,20190924,11.4,11.25,242,11.4,"566,305"
32,20190923,11.5,11.3,263,11.3,"593,900"
33,20190920,11.7,11.45,464,11.45,"1,020,200"
34,20190919,11.55,11.2,855,11.45,"3,286,000"
35,20190918,11.35,11.2,192,11.3,"471,870"
36,20190917,11.5,11.2,247,11.3,"621,832"
37,20190916,11.45,11.35,451,11.4,"920,001"
38,20190912,11.45,11.2,913,11.35,"3,732,319"
39,20190911,11.15,11.05,228,11.15,"497,001"
40,20190910,11.25,11.05,253,11.05,"641,147"
41,20190909,11.3,11.1,271,11.15,"765,002"
42,20190906,11.3,11.2,296,11.2,"617,000"
43,20190905,11.35,11.2,355,11.2,"871,002"
44,20190904,11.5,11.25,931,11.35,"3,455,001"
45,20190903,11.45,11.25,595,11.25,"1,556,000"
46,20190902,11.25,11.1,314,11.25,"737,401"
47,20190830,11.3,11.05,556,11.1,"1,391,207"
48,20190829,11.35,11.1,466,11.15,"1,143,532"
49,20190828,11.45,11.3,269,11.35,"563,581"
50,20190827,11.7,11.35,756,11.35,"1,808,275"
51,20190826,11.65,11.1,"1,333",11.65,"3,409,275"
52,20190823,11.3,11.2,316,11.25,"822,260"
53,20190822,11.65,11.35,442,11.35,"1,071,000"
54,20190821,11.65,11.5,320,11.55,"763,470"
55,20190820,11.9,11.5,775,11.5,"2,234,001"
56,20190819,11.7,11.4,737,11.65,"1,685,202"
57,20190816,11.55,11.3,674,11.4,"1,393,341"
58,20190815,11.45,11.25,583,11.35,"1,170,253"
59,20190814,12.15,11.65,"1,051",11.65,"2,575,490"
60,20190813,12.25,12.0,603,12.0,"1,338,001"
61,20190812,12.55,12.0,"1,105",12.1,"2,895,200"
62,20190808,12.85,12.3,"1,813",12.4,"4,404,300"
63,20190807,12.45,12.0,"1,939",12.3,"7,192,300"
64,20190806,12.9,12.1,"6,050",12.25,"17,322,304"
65,20190805,12.15,11.9,"1,379",12.15,"3,818,942"
