,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,51.70,50.70,"2,095",51.30,"3,372,166"
1,20191108,51.8,51.0,"2,094",51.2,"3,491,465"
2,20191107,52.0,51.1,"2,054",51.1,"3,536,641"
3,20191106,52.4,51.6,"3,341",51.9,"6,111,135"
4,20191105,53.3,52.4,"6,312",52.6,"11,541,861"
5,20191104,52.3,50.7,"4,471",52.3,"7,598,826"
6,20191101,51.5,50.5,"2,373",51.2,"3,613,314"
7,20191031,51.5,50.9,"1,684",50.9,"2,856,584"
8,20191030,52.5,50.6,"3,259",50.7,"6,066,311"
9,20191029,52.3,51.4,"2,990",51.5,"5,290,854"
10,20191028,52.1,51.4,"5,758",51.5,"10,274,382"
11,20191025,50.5,49.9,"2,045",50.5,"3,324,917"
12,20191024,50.3,49.85,"1,579",50.2,"2,170,215"
13,20191023,50.5,49.8,"2,867",49.8,"5,329,232"
14,20191022,50.4,49.15,"3,796",50.0,"6,671,380"
15,20191021,49.75,49.2,"2,199",49.3,"3,649,314"
16,20191018,49.35,48.9,"1,732",49.0,"4,556,212"
17,20191017,49.55,48.55,"3,307",49.3,"5,132,951"
18,20191016,50.2,49.2,"2,772",49.2,"4,013,415"
19,20191015,50.1,49.3,"2,030",49.35,"3,426,916"
20,20191014,50.4,49.65,"2,456",49.75,"4,172,798"
21,20191009,49.9,49.3,"2,579",49.35,"3,861,441"
22,20191008,50.6,49.6,"2,246",49.7,"4,037,403"
23,20191007,50.5,50.0,"1,304",50.2,"2,286,897"
24,20191004,51.3,50.2,"2,440",50.2,"3,989,616"
25,20191003,50.3,49.35,"1,567",50.2,"2,607,292"
26,20191002,50.7,49.55,"3,402",50.1,"5,450,750"
27,20190927,51.5,49.25,"5,805",49.65,"9,008,385"
28,20190926,52.2,51.1,"3,595",51.1,"6,077,421"
29,20190925,54.3,51.7,"7,770",51.8,"14,712,102"
30,20190924,53.9,52.6,"8,488",53.9,"15,092,059"
31,20190923,52.4,51.2,"4,105",52.3,"7,473,277"
32,20190920,52.2,51.1,"4,104",51.1,"7,278,300"
33,20190919,51.6,50.8,"2,695",50.9,"4,840,530"
34,20190918,51.8,50.9,"2,097",51.1,"3,827,782"
35,20190917,52.5,51.0,"2,207",51.2,"3,767,192"
36,20190916,52.9,51.2,"2,597",51.7,"4,169,736"
37,20190912,52.8,51.9,"2,031",52.7,"3,357,240"
38,20190911,54.1,52.3,"4,172",52.3,"7,598,559"
39,20190910,53.6,52.4,"2,940",53.3,"5,047,329"
40,20190909,54.2,52.9,"6,218",53.3,"11,008,515"
41,20190906,52.8,52.1,"3,475",52.4,"6,524,000"
42,20190905,52.8,50.7,"5,106",52.4,"9,709,179"
43,20190904,51.8,50.5,"3,294",50.7,"5,438,049"
44,20190903,51.6,50.9,"2,512",51.3,"3,944,898"
45,20190902,52.8,50.2,"6,668",51.4,"11,785,678"
46,20190830,53.3,52.2,"2,195",52.8,"4,176,526"
47,20190829,53.6,52.5,"1,960",52.6,"3,303,772"
48,20190828,53.0,52.3,"2,156",53.0,"3,974,734"
49,20190827,53.7,52.2,"4,133",52.2,"7,203,035"
50,20190826,54.0,52.6,"6,492",52.7,"13,857,158"
51,20190823,53.7,52.6,"2,834",53.0,"6,573,014"
52,20190822,53.7,52.5,"4,409",53.3,"8,511,672"
53,20190821,54.0,52.5,"7,460",53.1,"14,089,360"
54,20190820,53.4,51.1,"13,216",52.8,"29,526,025"
55,20190819,51.1,49.65,"10,034",50.8,"23,963,446"
56,20190816,49.9,46.75,"8,351",49.6,"14,077,136"
57,20190815,47.4,46.3,"5,763",46.3,"9,217,900"
58,20190814,50.5,48.2,"7,369",48.2,"12,460,399"
59,20190813,50.4,49.05,"6,181",49.4,"11,088,062"
60,20190812,50.1,47.15,"8,703",49.45,"16,601,397"
61,20190808,47.4,46.7,"3,694",46.8,"6,605,227"
62,20190807,46.85,45.85,"2,630",46.2,"4,019,501"
63,20190806,46.5,44.5,"3,746",46.5,"5,985,738"
64,20190805,45.85,44.9,"1,902",45.6,"3,331,930"
