,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,"5,551","8,473,057","452,553,667",53.00,20191231,52.80,54.40,12.59,1.00,2478,大毅,53.20
1,"12,290","18,778,630","992,478,891",54.0,20191230,50.6,54.7,12.83,3.7,2478,大毅,50.9
2,"2,992","4,578,864","229,381,563",50.3,20191227,49.5,50.7,11.95,0.95,2478,大毅,49.5
3,"5,565","8,337,991","422,252,814",49.35,20191226,49.3,52.0,11.72,1.05,2478,大毅,51.0
4,"5,551","8,218,713","413,075,503",50.4,20191225,49.55,50.8,11.97,0.7,2478,大毅,49.7
5,"9,732","15,024,901","750,162,523",49.7,20191224,49.05,50.8,11.81,1.6,2478,大毅,49.1
6,"2,546","4,254,578","203,900,644",48.1,20191223,47.35,48.4,11.43,0.45,2478,大毅,48.15
7,"10,070","15,779,287","769,951,876",48.55,20191220,46.35,49.95,11.53,2.55,2478,大毅,46.6
8,"1,207","1,616,598","74,745,058",46.0,20191219,45.85,46.8,10.93,0.15,2478,大毅,46.0
9,"1,481","2,344,324","108,854,482",45.85,20191218,45.75,47.1,10.89,0.3,2478,大毅,46.4
10,"1,011","1,419,320","65,623,552",46.15,20191217,45.9,46.9,10.96,0.6,2478,大毅,46.85
11,"1,089","1,532,950","71,104,851",46.75,20191216,45.55,46.95,11.1,0.95,2478,大毅,45.95
12,"1,811","2,666,657","123,771,524",45.8,20191213,45.8,48.0,10.88,1.35,2478,大毅,47.6
13,"2,386","3,368,106","159,909,369",47.15,20191212,46.7,48.7,11.2,1.25,2478,大毅,48.4
14,"2,862","5,139,601","249,314,883",48.4,20191211,47.95,48.95,11.5,0.4,2478,大毅,47.95
15,"1,842","2,828,038","136,221,524",48.0,20191210,47.85,48.9,11.4,0.9,2478,大毅,48.9
16,"3,382","5,229,709","254,228,129",48.9,20191209,48.0,49.25,11.62,0.15,2478,大毅,48.75
17,"8,150","12,843,764","627,440,227",48.75,20191206,47.9,49.7,11.58,0.95,2478,大毅,48.35
18,"14,195","26,725,084","1,327,921,884",47.8,20191205,47.8,50.8,11.35,1.8,2478,大毅,50.0
19,"10,091","18,028,954","873,630,702",49.6,20191204,47.3,49.6,11.78,4.5,2478,大毅,47.5
20,"2,138","3,499,929","155,233,597",45.1,20191203,42.2,45.1,10.71,4.1,2478,大毅,42.4
21,955,"1,382,516","56,926,406",41.0,20191202,40.8,42.55,9.74,1.0,2478,大毅,42.1
22,680,"1,010,712","42,877,178",42.0,20191129,41.8,43.05,9.98,0.4,2478,大毅,42.7
23,"1,468","2,144,150","91,741,794",42.4,20191128,42.35,43.25,10.07,0.0,2478,大毅,42.8
24,965,"1,316,706","55,432,565",42.4,20191127,41.3,42.5,10.07,0.85,2478,大毅,41.6
25,"1,197","1,639,682","68,944,026",41.55,20191126,41.5,42.65,9.87,0.5,2478,大毅,41.9
26,298,"383,672","15,805,105",41.05,20191125,41.05,41.5,9.75,0.2,2478,大毅,41.4
27,353,"499,894","20,632,504",41.25,20191122,40.9,41.5,9.8,0.1,2478,大毅,41.2
28,314,"420,470","17,336,920",41.15,20191121,41.1,41.45,9.77,0.3,2478,大毅,41.3
29,809,"1,095,702","45,391,523",41.45,20191120,41.05,41.7,9.85,0.3,2478,大毅,41.6
30,656,"869,219","36,062,979",41.15,20191119,41.15,41.95,9.77,0.3,2478,大毅,41.6
31,921,"1,208,807","49,652,932",41.45,20191118,40.6,41.75,9.85,0.85,2478,大毅,40.65
32,442,"547,521","22,205,959",40.6,20191115,40.3,41.0,9.64,0.1,2478,大毅,40.95
33,866,"1,186,466","48,127,221",40.5,20191114,40.2,40.85,9.62,0.2,2478,大毅,40.35
34,"1,764","2,359,403","95,926,318",40.3,20191113,39.9,41.4,9.57,0.8,2478,大毅,40.05
35,"1,048","1,343,365","52,362,901",39.5,20191112,37.9,39.5,6.5,1.7,2478,大毅,37.9
36,"1,569","2,469,682","94,800,566",37.8,20191111,37.8,40.3,6.22,2.6,2478,大毅,40.3
37,462,"579,865","23,453,444",40.4,20191108,40.2,40.65,6.64,0.5,2478,大毅,40.3
38,683,"999,000","40,093,534",39.9,20191107,39.85,40.85,6.56,0.95,2478,大毅,40.85
39,"1,291","1,716,567","71,035,885",40.85,20191106,40.7,42.2,6.72,0.55,2478,大毅,41.8
40,"1,040","1,354,572","55,545,619",41.4,20191105,40.05,41.55,6.81,1.3,2478,大毅,40.3
41,583,"706,216","28,292,076",40.1,20191104,39.85,40.25,6.6,0.4,2478,大毅,40.1
42,"1,400","2,046,204","81,527,515",39.7,20191101,39.35,40.45,6.53,0.8,2478,大毅,40.15
43,944,"1,391,064","57,182,577",40.5,20191031,40.5,42.2,6.66,1.25,2478,大毅,42.15
44,615,"886,608","37,152,907",41.75,20191030,41.75,42.05,6.87,0.0,2478,大毅,41.75
45,879,"1,131,298","47,795,311",41.75,20191029,41.6,43.3,6.87,0.95,2478,大毅,43.0
46,528,"724,498","31,083,234",42.7,20191028,42.7,43.45,7.02,0.4,2478,大毅,43.4
47,698,"938,908","40,736,705",43.1,20191025,43.1,44.1,7.09,0.6,2478,大毅,44.0
48,891,"1,285,668","56,364,374",43.7,20191024,43.5,44.15,7.19,0.5,2478,大毅,43.85
49,721,"955,654","41,653,083",43.2,20191023,43.2,44.25,7.11,0.8,2478,大毅,44.25
50,831,"1,017,325","44,624,000",44.0,20191022,43.5,44.55,7.24,0.15,2478,大毅,44.5
51,"1,225","1,570,262","69,988,023",44.15,20191021,44.0,45.25,7.26,0.45,2478,大毅,44.6
52,"1,414","2,527,903","111,327,412",44.6,20191018,43.2,44.6,7.34,1.5,2478,大毅,43.4
53,"1,751","2,259,479","96,368,990",43.1,20191017,41.9,43.5,7.09,0.35,2478,大毅,42.8
54,"2,571","3,471,429","151,647,152",42.75,20191016,42.6,45.55,7.03,2.3,2478,大毅,45.4
55,"2,002","3,053,201","139,400,978",45.05,20191015,45.0,46.6,7.41,0.05,2478,大毅,45.55
56,"1,991","2,638,972","121,867,640",45.0,20191014,45.0,47.3,7.4,1.7,2478,大毅,47.05
57,"1,838","2,517,714","118,562,848",46.7,20191009,46.6,47.65,7.68,0.2,2478,大毅,47.4
58,"5,711","7,987,590","392,541,893",46.9,20191008,46.9,51.4,7.71,1.9,2478,大毅,49.5
59,"3,456","4,633,884","223,880,818",48.8,20191007,47.3,48.8,8.03,0.0,2478,大毅,48.6
60,"1,293","1,978,147","70,688,011",35.8,20190925,35.35,36.55,5.89,0.4,2478,大毅,36.2
61,"1,406","2,179,371","80,008,615",36.2,20190924,36.2,37.4,5.95,0.95,2478,大毅,37.4
62,"1,099","1,818,839","67,894,457",37.15,20190923,37.1,38.0,6.11,0.65,2478,大毅,37.9
63,"1,239","2,223,305","83,959,530",37.8,20190920,37.5,38.2,6.22,0.05,2478,大毅,37.65
64,"1,303","2,063,910","78,336,964",37.85,20190919,37.55,38.6,6.23,0.4,2478,大毅,38.4
65,"1,781","2,975,773","114,885,383",38.25,20190918,38.25,39.2,6.29,0.65,2478,大毅,39.05
66,"6,860","11,724,898","464,000,984",38.9,20190917,38.4,40.65,6.4,0.8,2478,大毅,38.7
67,"1,626","2,417,971","92,046,598",38.1,20190916,37.8,38.45,6.27,0.4,2478,大毅,38.45
68,"1,388","2,201,297","83,400,605",37.7,20190912,37.7,38.05,6.2,0.2,2478,大毅,37.8
69,"1,390","2,135,667","80,478,012",37.5,20190911,37.35,38.05,6.17,0.15,2478,大毅,37.75
70,"1,450","2,057,327","76,782,711",37.35,20190910,36.85,38.0,6.14,0.4,2478,大毅,37.95
71,"2,259","3,824,047","144,972,990",37.75,20190909,37.6,38.35,6.21,0.3,2478,大毅,37.85
72,"2,569","4,279,348","161,372,673",37.45,20190906,37.25,38.65,6.16,0.7,2478,大毅,38.3
73,"6,273","10,756,437","417,551,905",38.15,20190905,37.95,39.85,6.27,0.3,2478,大毅,38.25
74,"2,997","5,307,039","198,757,008",37.85,20190904,36.95,38.0,6.23,0.4,2478,大毅,37.2
75,"5,034","8,807,286","328,825,349",37.45,20190903,36.9,38.0,6.16,1.1,2478,大毅,37.6
76,"15,535","30,172,201","1,140,208,439",38.55,20190902,36.5,38.8,6.34,2.4,2478,大毅,37.0
77,"6,576","20,707,331","741,749,306",36.15,20190830,33.4,36.15,5.95,3.25,2478,大毅,33.4
78,818,"1,226,591","40,256,962",32.9,20190829,32.45,33.4,5.41,0.2,2478,大毅,33.4
79,949,"1,725,241","57,271,444",33.1,20190828,32.85,33.4,5.44,0.5,2478,大毅,32.85
80,435,"631,507","20,705,364",32.6,20190827,32.6,33.15,5.36,0.0,2478,大毅,33.1
81,"1,037","1,849,040","60,730,932",32.6,20190826,32.45,33.4,5.36,1.35,2478,大毅,33.4
82,800,"1,274,143","43,275,312",33.95,20190823,33.7,34.15,5.58,0.3,2478,大毅,33.8
83,949,"1,595,535","54,021,462",33.65,20190822,33.6,34.15,5.53,0.15,2478,大毅,33.9
84,"1,339","2,253,819","75,570,774",33.5,20190821,33.1,33.8,5.51,0.5,2478,大毅,33.15
85,930,"1,559,266","51,920,228",33.0,20190820,32.9,33.7,5.43,0.35,2478,大毅,33.55
86,"1,066","2,003,806","66,439,891",33.35,20190819,32.85,33.35,5.49,0.75,2478,大毅,33.0
87,909,"1,555,964","50,575,169",32.6,20190816,32.15,32.75,5.36,0.6,2478,大毅,32.3
88,891,"1,370,019","43,614,102",32.0,20190815,31.05,32.2,5.26,0.7,2478,大毅,31.05
89,"1,384","2,301,749","77,121,417",32.7,20190814,32.7,34.1,5.38,0.35,2478,大毅,33.9
90,920,"1,358,844","44,522,356",33.05,20190813,32.3,33.15,5.44,0.1,2478,大毅,32.9
91,"1,570","2,802,802","93,082,622",33.15,20190812,32.65,33.5,5.45,0.1,2478,大毅,33.15
