,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,29.80,29.35,191,29.75,"367,001"
1,20191111,29.75,28.95,211,29.05,"356,701"
2,20191108,29.75,29.55,61,29.75,"97,918"
3,20191107,30.0,29.55,134,29.55,"200,159"
4,20191106,30.3,29.9,82,29.95,"137,994"
5,20191105,30.25,30.0,79,30.1,"109,437"
6,20191104,30.4,30.05,97,30.15,"146,789"
7,20191101,30.05,29.5,73,30.05,"92,191"
8,20191031,30.15,29.9,88,29.9,"138,684"
9,20191030,30.2,30.05,49,30.05,"55,849"
10,20191029,30.5,29.95,114,30.0,"202,228"
11,20191028,30.5,30.2,48,30.2,"65,532"
12,20191025,30.65,30.3,99,30.4,"169,050"
13,20191024,30.7,30.2,158,30.5,"280,763"
14,20191023,31.1,30.0,348,30.15,"681,888"
15,20191022,30.5,30.2,112,30.25,"214,537"
16,20191021,30.65,30.0,114,30.35,"239,001"
17,20191018,30.65,30.2,135,30.25,"198,532"
18,20191017,30.5,29.85,380,30.4,"556,576"
19,20191016,29.95,29.65,105,29.8,"164,500"
20,20191015,29.85,29.55,65,29.8,"106,498"
21,20191014,29.85,29.5,89,29.55,"147,363"
22,20191009,29.55,29.3,67,29.45,"96,502"
23,20191008,29.9,29.4,151,29.5,"254,063"
24,20191007,30.05,29.6,296,29.65,"466,438"
25,20191004,30.55,29.95,257,30.5,"408,998"
26,20191003,30.15,29.8,102,30.1,"145,567"
27,20191002,30.15,29.85,95,30.1,"124,478"
28,20190927,29.85,29.5,151,29.85,"235,138"
29,20190926,30.0,29.8,122,29.85,"197,744"
30,20190925,30.0,29.75,82,29.8,"107,999"
31,20190924,30.15,29.9,90,30.0,"125,500"
32,20190923,30.1,29.8,96,30.05,"163,099"
33,20190920,29.75,29.6,75,29.75,"97,297"
34,20190919,30.3,29.6,100,29.65,"144,936"
35,20190918,30.0,29.4,155,29.95,"185,756"
36,20190917,29.45,29.05,106,29.4,"137,250"
37,20190916,29.75,29.2,196,29.3,"286,413"
38,20190912,30.0,29.5,220,29.55,"283,206"
39,20190911,30.45,29.95,216,29.95,"565,411"
40,20190910,30.35,30.0,74,30.3,"98,250"
41,20190909,30.8,30.25,143,30.25,"277,499"
42,20190906,30.9,30.7,74,30.75,"93,014"
43,20190905,31.2,30.75,127,30.75,"199,501"
44,20190904,31.0,30.8,118,30.85,"145,316"
45,20190903,31.45,30.95,129,30.95,"182,954"
46,20190902,31.3,30.85,144,31.15,"245,601"
47,20190830,31.25,30.95,153,31.0,"191,928"
48,20190829,30.95,30.65,86,30.9,"117,705"
49,20190828,31.15,30.6,226,30.85,"445,399"
50,20190827,30.85,30.5,89,30.6,"108,500"
51,20190826,30.8,30.3,200,30.45,"349,351"
52,20190823,31.2,30.65,147,31.05,"182,626"
53,20190822,31.7,30.95,232,31.0,"394,501"
54,20190821,31.25,30.8,240,31.25,"318,626"
55,20190820,31.2,30.8,257,30.8,"338,243"
56,20190819,31.7,31.0,553,31.1,"789,434"
57,20190816,31.0,29.55,598,30.7,"1,174,031"
58,20190815,29.9,29.05,286,29.5,"989,500"
59,20190814,29.65,29.35,84,29.5,"113,239"
60,20190813,29.7,29.25,90,29.25,"200,049"
61,20190812,29.7,29.2,164,29.5,"229,000"
62,20190808,29.05,28.75,74,29.05,"102,315"
63,20190807,29.15,28.6,171,28.65,"284,750"
64,20190806,28.15,27.2,120,28.1,"164,537"
65,20190805,29.3,28.05,174,28.25,"246,004"
