,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,92,"98,442","5,480,275",55.40,20191113.0,55.30,56.70,16.94,1.30,2748,雲品,56.70
1,20191112.0,56.80,55.80,106.0,56.70,"131,000",,,,,,,,,,,,
2,20191111.0,57.30,55.80,177.0,56.20,"225,990",,,,,,,,,,,,
3,20191108.0,58.90,58.60,9.0,58.60,"10,000",,,,,,,,,,,,
4,20191107.0,58.70,58.70,3.0,58.70,"3,000",,,,,,,,,,,,
5,20191106.0,58.70,58.50,10.0,58.70,"7,999",,,,,,,,,,,,
6,20191105.0,59.20,58.50,19.0,58.70,"20,015",,,,,,,,,,,,
7,20191104.0,59.60,58.60,17.0,58.60,"17,000",,,,,,,,,,,,
8,20191101.0,58.70,58.60,18.0,58.60,"18,000",,,,,,,,,,,,
9,20191031.0,58.90,58.60,20.0,58.60,"21,000",,,,,,,,,,,,
10,20191030.0,59.50,58.80,21.0,58.80,"21,000",,,,,,,,,,,,
11,20191029.0,59.50,59.00,24.0,59.20,"33,000",,,,,,,,,,,,
12,20191028.0,59.60,59.30,11.0,59.60,"11,000",,,,,,,,,,,,
13,20191025.0,60.00,59.00,48.0,59.60,"55,007",,,,,,,,,,,,
14,20191024.0,59.50,59.00,17.0,59.50,"16,200",,,,,,,,,,,,
15,20191023.0,59.30,59.00,4.0,59.00,"4,000",,,,,,,,,,,,
16,20191022.0,59.50,58.50,27.0,59.30,"41,000",,,,,,,,,,,,
17,20191021.0,58.70,58.50,25.0,58.50,"29,000",,,,,,,,,,,,
18,20191018.0,58.70,58.20,18.0,58.70,"27,000",,,,,,,,,,,,
19,20191017.0,58.30,58.00,21.0,58.20,"26,100",,,,,,,,,,,,
20,20191016.0,58.00,57.50,24.0,57.80,"30,005",,,,,,,,,,,,
21,20191015.0,57.80,57.50,23.0,57.50,"25,000",,,,,,,,,,,,
22,20191014.0,58.00,57.50,15.0,57.80,"17,000",,,,,,,,,,,,
23,20191009.0,57.60,57.20,27.0,57.30,"35,000",,,,,,,,,,,,
24,20191008.0,57.70,57.50,24.0,57.60,"29,000",,,,,,,,,,,,
25,20191007.0,58.00,57.60,37.0,57.60,"53,000",,,,,,,,,,,,
