,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,18.30,18.20,132,18.30,"333,956"
1,20191111,18.55,18.3,136,18.3,"397,498"
2,20191108,18.6,18.35,148,18.55,"464,469"
3,20191107,18.6,18.4,112,18.5,"198,232"
4,20191106,18.55,18.4,139,18.5,"269,979"
5,20191105,18.6,18.3,245,18.4,"482,967"
6,20191104,18.75,18.5,262,18.5,"529,125"
7,20191101,18.75,18.6,226,18.65,"545,973"
8,20191031,18.6,18.45,146,18.45,"299,122"
9,20191030,18.65,18.45,126,18.6,"280,869"
10,20191029,18.7,18.55,263,18.6,"513,598"
11,20191028,18.7,18.35,172,18.55,"334,959"
12,20191025,18.6,18.45,238,18.55,"371,835"
13,20191024,18.55,18.45,158,18.45,"248,159"
14,20191023,18.6,18.4,185,18.45,"274,234"
15,20191022,18.6,18.4,147,18.5,"212,619"
16,20191021,18.45,18.15,190,18.4,"377,507"
17,20191018,18.55,18.35,165,18.4,"284,709"
18,20191017,18.6,18.35,238,18.35,"475,959"
19,20191016,18.65,18.25,385,18.3,"702,606"
20,20191015,18.8,18.5,346,18.55,"528,706"
21,20191014,19.0,18.6,442,18.6,"722,344"
22,20191009,19.1,18.85,219,18.9,"412,818"
23,20191008,19.15,18.95,124,19.05,"247,252"
24,20191007,19.2,18.95,78,19.05,"108,872"
25,20191004,19.25,18.85,147,18.95,"242,927"
26,20191003,19.1,18.85,158,18.95,"242,405"
27,20191002,19.1,18.95,197,19.0,"325,097"
28,20190927,19.45,19.05,229,19.1,"585,610"
29,20190926,19.5,19.2,155,19.25,"272,329"
30,20190925,19.5,19.2,179,19.2,"412,442"
31,20190924,19.5,19.3,213,19.4,"393,714"
32,20190923,19.3,19.2,111,19.25,"204,920"
33,20190920,19.4,19.15,137,19.25,"232,308"
34,20190919,19.6,19.2,281,19.35,"463,563"
35,20190918,19.55,19.35,289,19.5,"409,536"
36,20190917,19.7,19.4,268,19.45,"898,146"
37,20190916,19.55,19.25,192,19.4,"376,964"
38,20190912,19.45,19.3,236,19.4,"484,908"
39,20190911,19.25,19.05,142,19.15,"226,390"
40,20190910,19.4,19.1,247,19.1,"427,865"
41,20190909,19.6,19.3,230,19.35,"409,904"
42,20190906,19.6,19.3,489,19.5,"1,180,919"
43,20190905,19.35,19.25,218,19.25,"383,018"
44,20190904,19.3,19.1,271,19.25,"457,766"
45,20190903,19.35,19.15,245,19.15,"435,257"
46,20190902,19.25,19.0,193,19.25,"270,650"
47,20190830,19.2,19.0,261,19.0,"416,775"
48,20190829,19.0,18.85,194,18.9,"267,646"
49,20190828,19.1,18.95,163,19.0,"250,075"
50,20190827,19.05,18.75,222,18.9,"345,276"
51,20190826,18.8,18.55,329,18.6,"505,672"
52,20190823,19.25,19.05,131,19.05,"210,240"
53,20190822,19.35,19.1,212,19.1,"366,676"
54,20190821,19.3,19.05,255,19.15,"460,189"
55,20190820,19.2,19.05,208,19.05,"367,491"
56,20190819,19.25,19.1,201,19.2,"314,641"
57,20190816,19.1,18.85,231,18.9,"435,679"
58,20190815,18.9,18.6,272,18.85,"451,142"
59,20190814,19.3,19.0,250,19.0,"582,949"
60,20190813,19.2,18.9,263,19.0,"439,081"
61,20190812,19.1,18.9,274,18.95,"514,025"
62,20190808,19.3,19.15,209,19.2,"357,735"
63,20190807,19.2,19.0,253,19.1,"453,869"
64,20190806,19.35,18.3,443,19.0,"743,417"
65,20190805,19.85,19.2,521,19.25,"931,299"
