,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,45.20,44.10,742,44.80,"1,027,131"
1,20191111,45.0,43.5,"1,363",44.4,"2,121,690"
2,20191108,46.4,44.85,"2,255",45.3,"3,645,731"
3,20191107,47.4,46.0,"7,414",46.4,"17,010,579"
4,20191106,43.1,42.85,421,43.1,"782,645"
5,20191105,43.0,42.7,365,42.85,"469,188"
6,20191104,42.7,42.5,232,42.7,"344,372"
7,20191101,42.85,42.35,210,42.5,"335,700"
8,20191031,42.9,42.5,294,42.85,"419,801"
9,20191030,42.95,42.7,206,42.9,"278,279"
10,20191029,43.0,42.8,358,42.85,"509,199"
11,20191028,42.9,42.7,137,42.85,"194,650"
12,20191025,42.9,42.55,190,42.75,"245,968"
13,20191024,42.9,42.65,261,42.8,"355,801"
14,20191023,43.1,42.5,488,42.65,"778,066"
15,20191022,42.8,42.55,286,42.65,"388,822"
16,20191021,42.55,42.05,217,42.45,"308,042"
17,20191018,42.35,41.8,498,42.35,"1,074,874"
18,20191017,42.3,42.0,152,42.2,"183,871"
19,20191016,42.35,42.0,234,42.3,"265,247"
20,20191015,42.15,41.95,253,42.15,"279,677"
21,20191014,42.5,41.9,354,42.15,"505,658"
22,20191009,42.3,41.9,263,42.25,"353,095"
23,20191008,42.65,42.15,222,42.4,"308,532"
24,20191007,42.8,42.2,201,42.5,"291,873"
25,20191004,42.6,42.3,188,42.5,"250,363"
26,20191003,42.5,41.8,166,42.5,"240,239"
27,20191002,42.8,42.3,202,42.7,"243,399"
28,20190927,42.95,42.5,309,42.95,"411,846"
29,20190926,43.4,42.7,329,43.0,"404,903"
30,20190925,43.4,42.75,309,43.0,"396,613"
31,20190924,43.6,42.95,419,43.4,"592,597"
32,20190923,44.25,43.2,714,43.5,"1,233,331"
33,20190920,43.5,42.8,899,43.5,"1,465,143"
34,20190919,42.7,42.45,208,42.65,"354,740"
35,20190918,42.65,42.1,308,42.4,"351,005"
36,20190917,42.45,42.1,138,42.35,"184,941"
37,20190916,42.4,42.0,142,42.35,"249,132"
38,20190912,42.7,41.8,315,42.3,"445,551"
39,20190911,42.75,42.5,210,42.65,"260,533"
40,20190910,42.7,42.45,210,42.5,"326,280"
41,20190909,42.4,42.25,145,42.35,"213,710"
42,20190906,42.3,42.05,225,42.25,"341,592"
43,20190905,42.1,41.8,154,42.05,"234,043"
44,20190904,42.05,41.55,177,42.0,"214,748"
45,20190903,41.9,41.6,141,41.65,"170,313"
46,20190902,41.75,41.2,191,41.75,"287,837"
47,20190830,41.35,40.9,299,41.25,"429,291"
48,20190829,41.2,40.8,140,41.0,"162,610"
49,20190828,41.2,40.75,331,40.9,"431,093"
50,20190827,41.25,40.65,641,41.0,"1,860,462"
51,20190826,43.7,43.25,585,43.45,"1,445,791"
52,20190823,44.1,43.55,381,43.95,"921,323"
53,20190822,44.05,43.6,300,43.75,"697,187"
54,20190821,44.15,43.45,384,44.0,"859,574"
55,20190820,43.55,43.25,264,43.4,"616,497"
56,20190819,43.3,42.85,210,43.2,"356,083"
57,20190816,43.6,43.0,358,43.0,"487,816"
58,20190815,43.35,42.85,372,42.95,"709,700"
59,20190814,44.05,43.4,253,43.55,"349,765"
60,20190813,43.9,43.25,447,43.65,"652,444"
61,20190812,44.35,43.95,219,44.0,"393,874"
62,20190808,44.4,44.05,257,44.2,"411,648"
63,20190807,44.5,43.7,364,44.1,"440,171"
64,20190806,44.15,42.7,492,44.1,"696,744"
65,20190805,44.25,43.7,390,43.95,"497,350"
