,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,85,"260,999","2,422,409",9.21,20191113.0,9.15,9.31,28.78,0.06,2032,新鋼,9.15
1,20191112.0,9.2,9.15,22.0,9.15,"61,749",,,,,,,,,,,,
2,20191111.0,9.25,9.13,16.0,9.23,"18,000",,,,,,,,,,,,
3,20191108.0,9.28,9.22,35.0,9.22,"83,454",,,,,,,,,,,,
4,20191107.0,9.27,9.18,14.0,9.2,"15,081",,,,,,,,,,,,
5,20191106.0,9.2,9.16,6.0,9.19,"14,101",,,,,,,,,,,,
6,20191105.0,9.27,9.11,47.0,9.2,"109,000",,,,,,,,,,,,
7,20191104.0,9.17,9.1,16.0,9.1,"26,927",,,,,,,,,,,,
8,20191101.0,9.15,9.05,23.0,9.11,"48,654",,,,,,,,,,,,
9,20191031.0,9.13,9.1,17.0,9.11,"29,120",,,,,,,,,,,,
10,20191030.0,9.2,9.13,14.0,9.13,"22,093",,,,,,,,,,,,
11,20191029.0,9.3,9.13,43.0,9.13,"85,877",,,,,,,,,,,,
12,20191028.0,9.17,9.05,10.0,9.13,"12,741",,,,,,,,,,,,
13,20191025.0,9.15,9.07,23.0,9.08,"51,000",,,,,,,,,,,,
14,20191024.0,9.15,9.1,10.0,9.13,"17,255",,,,,,,,,,,,
15,20191023.0,9.19,9.15,21.0,9.15,"36,120",,,,,,,,,,,,
16,20191022.0,9.18,9.11,40.0,9.15,"132,403",,,,,,,,,,,,
17,20191021.0,9.19,9.1,36.0,9.18,"156,060",,,,,,,,,,,,
18,20191018.0,9.2,9.15,12.0,9.2,"41,000",,,,,,,,,,,,
19,20191017.0,9.21,9.13,12.0,9.2,"22,226",,,,,,,,,,,,
20,20191016.0,9.22,9.15,23.0,9.15,"27,118",,,,,,,,,,,,
21,20191015.0,9.24,9.11,77.0,9.15,"143,831",,,,,,,,,,,,
22,20191014.0,9.36,9.23,20.0,9.35,"57,303",,,,,,,,,,,,
23,20191009.0,9.29,9.29,4.0,9.29,"16,087",,,,,,,,,,,,
24,20191008.0,9.31,9.2,24.0,9.3,"55,030",,,,,,,,,,,,
25,20191007.0,9.32,9.21,35.0,9.3,"66,263",,,,,,,,,,,,
26,20191004.0,9.32,9.19,35.0,9.28,"92,507",,,,,,,,,,,,
27,20191003.0,9.34,9.22,16.0,9.28,"50,366",,,,,,,,,,,,
28,20191002.0,9.35,9.34,4.0,9.34,"2,321",,,,,,,,,,,,
29,20190927.0,9.35,9.1,52.0,9.23,"135,775",,,,,,,,,,,,
30,20190926.0,9.39,9.24,35.0,9.28,"100,090",,,,,,,,,,,,
31,20190925.0,9.39,9.3,10.0,9.37,"26,080",,,,,,,,,,,,
32,20190924.0,9.43,9.33,31.0,9.42,"76,432",,,,,,,,,,,,
33,20190923.0,9.42,9.38,17.0,9.42,"43,256",,,,,,,,,,,,
34,20190920.0,9.4,9.3,38.0,9.39,"145,060",,,,,,,,,,,,
35,20190919.0,9.45,9.32,21.0,9.39,"65,121",,,,,,,,,,,,
36,20190918.0,9.33,9.27,42.0,9.33,"135,398",,,,,,,,,,,,
37,20190917.0,9.46,9.31,24.0,9.33,"58,241",,,,,,,,,,,,
38,20190916.0,9.5,9.4,34.0,9.47,"108,060",,,,,,,,,,,,
39,20190912.0,9.48,9.36,34.0,9.48,"108,321",,,,,,,,,,,,
40,20190911.0,9.47,9.34,33.0,9.37,"89,672",,,,,,,,,,,,
41,20190910.0,9.52,9.45,42.0,9.47,"117,061",,,,,,,,,,,,
42,20190909.0,9.58,9.42,43.0,9.5,"149,482",,,,,,,,,,,,
43,20190906.0,9.68,9.41,65.0,9.46,"167,789",,,,,,,,,,,,
44,20190905.0,9.7,9.52,104.0,9.52,"413,897",,,,,,,,,,,,
45,20190904.0,9.9,9.6,166.0,9.7,"419,381",,,,,,,,,,,,
46,20190903.0,9.69,9.43,139.0,9.69,"287,287",,,,,,,,,,,,
47,20190902.0,9.78,9.29,470.0,9.56,"1,324,376",,,,,,,,,,,,
48,20190830.0,9.15,8.95,27.0,9.06,"88,180",,,,,,,,,,,,
49,20190829.0,8.98,8.9,14.0,8.91,"50,001",,,,,,,,,,,,
50,20190828.0,8.9,8.8,38.0,8.9,"131,001",,,,,,,,,,,,
51,20190827.0,9.06,8.86,24.0,8.9,"63,000",,,,,,,,,,,,
52,20190826.0,8.88,8.86,22.0,8.86,"53,000",,,,,,,,,,,,
53,20190823.0,8.97,8.87,19.0,8.97,"56,030",,,,,,,,,,,,
54,20190822.0,9.02,8.95,24.0,8.97,"73,526",,,,,,,,,,,,
55,20190821.0,9.1,9.0,82.0,9.02,"138,111",,,,,,,,,,,,
56,20190820.0,9.24,9.1,36.0,9.1,"71,536",,,,,,,,,,,,
57,20190819.0,9.34,9.13,26.0,9.25,"63,845",,,,,,,,,,,,
58,20190816.0,9.25,9.16,57.0,9.23,"236,150",,,,,,,,,,,,
59,20190815.0,9.19,9.05,17.0,9.15,"43,450",,,,,,,,,,,,
60,20190814.0,9.24,9.06,33.0,9.19,"66,863",,,,,,,,,,,,
61,20190813.0,9.25,9.13,21.0,9.16,"61,000",,,,,,,,,,,,
62,20190812.0,9.29,9.16,53.0,9.16,"200,000",,,,,,,,,,,,
63,20190808.0,9.35,9.08,68.0,9.17,"287,122",,,,,,,,,,,,
64,20190807.0,9.06,9.0,29.0,9.06,"2,235,120",,,,,,,,,,,,
65,20190806.0,9.0,8.8,32.0,9.0,"82,444",,,,,,,,,,,,
66,20190805.0,9.1,9.0,42.0,9.0,"102,000",,,,,,,,,,,,
