,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,485,"675,093","50,737,483",75.10,20191122,75.00,75.50,16.84,0.00,6285,啟碁,75.50
1,656,"843,748","63,149,894",75.1,20191121,74.5,75.1,16.84,0.0,6285,啟碁,74.8
2,"1,137","2,088,820","157,111,753",75.1,20191120,75.0,75.7,16.84,0.1,6285,啟碁,75.6
3,"1,865","2,752,700","207,465,698",75.2,20191119,74.8,75.8,16.86,0.9,6285,啟碁,74.9
4,895,"1,223,732","91,186,232",74.3,20191118,74.3,74.9,16.66,0.2,6285,啟碁,74.5
5,"1,502","2,308,517","171,229,656",74.1,20191115,73.7,75.1,16.61,0.3,6285,啟碁,74.7
6,"1,154","1,488,393","111,063,250",74.4,20191114,74.3,75.4,16.68,0.7,6285,啟碁,75.1
7,"1,310","1,732,860","130,081,252",75.1,20191113,74.2,75.4,16.84,0.9,6285,啟碁,74.2
8,"1,020","1,274,624","94,383,614",74.2,20191112,73.6,74.3,16.64,0.6,6285,啟碁,73.6
9,"2,072","3,072,873","228,028,798",73.6,20191111,73.6,75.0,16.5,1.4,6285,啟碁,75.0
10,"1,880","3,319,841","249,297,376",75.0,20191108,74.8,75.4,16.82,0.5,6285,啟碁,75.0
11,"2,924","4,594,071","344,104,025",74.5,20191107,74.2,76.2,16.7,1.3,6285,啟碁,76.1
12,"3,478","5,392,401","407,178,676",75.8,20191106,74.7,76.0,17.0,1.3,6285,啟碁,74.7
13,"3,427","4,613,264","343,803,900",74.5,20191105,74.1,74.9,16.7,0.1,6285,啟碁,74.7
14,"3,010","4,639,251","346,188,387",74.4,20191104,74.3,75.2,16.68,0.5,6285,啟碁,75.0
15,"5,299","7,596,546","570,493,496",74.9,20191101,74.5,76.4,16.79,1.1,6285,啟碁,76.3
16,"5,101","7,795,977","597,965,826",76.0,20191031,76.0,77.9,17.04,2.1,6285,啟碁,77.5
17,"2,115","3,137,027","244,215,013",78.1,20191030,77.0,78.6,16.51,0.5,6285,啟碁,77.5
18,"3,007","4,532,758","352,615,338",77.6,20191029,77.2,78.6,16.41,1.0,6285,啟碁,78.6
19,"2,822","3,988,294","314,104,358",78.6,20191028,78.1,80.2,16.62,1.5,6285,啟碁,80.1
20,"1,687","2,480,420","199,256,908",80.1,20191025,80.0,81.3,16.93,1.0,6285,啟碁,81.3
21,830,"1,035,785","83,487,552",81.1,20191024,80.3,81.1,17.15,0.8,6285,啟碁,80.4
22,902,"1,152,914","92,965,739",80.3,20191023,80.3,81.3,16.98,0.3,6285,啟碁,80.8
23,"1,214","1,583,050","127,851,324",80.6,20191022,80.4,81.2,17.04,0.2,6285,啟碁,81.1
24,"1,098","1,379,748","111,731,507",80.8,20191021,80.7,81.6,17.08,0.2,6285,啟碁,81.1
25,"2,852","4,394,863","360,802,482",81.0,20191018,81.0,83.2,17.12,0.2,6285,啟碁,82.3
26,983,"1,429,046","115,865,125",81.2,20191017,80.3,81.5,17.17,0.6,6285,啟碁,80.8
27,865,"1,189,361","96,176,756",80.6,20191016,80.6,81.5,17.04,0.0,6285,啟碁,81.5
28,750,"1,008,068","81,362,672",80.6,20191015,80.2,81.2,17.04,0.4,6285,啟碁,80.2
29,"1,160","1,804,305","147,119,583",81.0,20191014,81.0,82.5,17.12,0.0,6285,啟碁,82.5
30,"1,466","2,225,280","179,395,880",81.0,20191009,79.8,81.3,17.12,0.4,6285,啟碁,80.4
31,"1,531","2,348,425","190,776,843",80.6,20191008,80.6,82.8,17.04,1.3,6285,啟碁,82.8
32,"1,637","2,628,433","216,326,454",81.9,20191007,81.4,83.6,17.32,0.0,6285,啟碁,82.5
33,797,"1,313,896","107,753,572",81.9,20191004,81.6,82.6,17.32,0.1,6285,啟碁,82.2
34,590,"837,657","68,744,974",82.0,20191003,81.6,82.5,17.34,0.6,6285,啟碁,81.6
35,814,"1,153,235","94,982,185",82.6,20191002,81.6,82.8,17.46,0.3,6285,啟碁,81.9
36,"1,451","1,901,439","156,679,134",82.3,20191001,82.0,83.1,17.4,0.7,6285,啟碁,82.0
37,"2,173","3,251,920","265,862,756",81.6,20190927,81.0,83.8,17.25,1.7,6285,啟碁,83.3
38,"2,395","3,696,998","310,655,920",83.3,20190926,83.3,85.0,17.61,0.5,6285,啟碁,84.5
39,"1,538","2,376,193","197,720,479",83.8,20190925,82.3,83.8,17.72,0.8,6285,啟碁,83.1
40,"2,419","3,840,795","321,479,962",83.0,20190924,83.0,84.3,17.55,0.2,6285,啟碁,83.3
41,"1,248","1,711,704","142,377,282",82.8,20190923,82.7,83.8,17.51,0.2,6285,啟碁,83.2
42,"1,948","2,883,972","239,503,667",83.0,20190920,82.4,83.4,17.55,0.2,6285,啟碁,83.2
43,"1,744","2,964,405","244,922,677",82.8,20190919,82.0,83.0,17.51,0.9,6285,啟碁,82.5
44,"2,546","4,380,764","359,881,260",81.9,20190918,81.1,82.7,17.32,0.7,6285,啟碁,81.5
45,"4,488","6,966,053","576,784,592",81.2,20190917,81.2,84.3,17.17,0.6,6285,啟碁,83.0
46,945,"1,612,641","131,481,038",81.8,20190916,81.1,82.0,17.29,0.0,6285,啟碁,81.5
47,"1,038","1,619,536","132,386,130",81.8,20190912,81.2,82.1,17.29,0.3,6285,啟碁,82.1
48,"1,459","2,052,102","167,476,486",81.5,20190911,81.1,82.0,17.23,0.2,6285,啟碁,81.7
