,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,219,"424,400","7,666,500",18.00,20191113.0,17.95,18.25,0.00,0.00,3419,譁裕,18.00
1,20191112.0,18.1,17.8,340,18.0,"692,920",,,,,,,,,,,,
2,20191111.0,18.85,17.7,"1,176",17.75,"2,553,000",,,,,,,,,,,,
3,20191108.0,18.85,18.5,533,18.85,"1,246,201",,,,,,,,,,,,
4,20191107.0,18.8,18.3,775,18.65,"2,258,082",,,,,,,,,,,,
5,20191106.0,19.0,18.6,"1,060",18.6,"2,403,195",,,,,,,,,,,,
6,20191105.0,18.8,18.45,433,18.8,"1,475,336",,,,,,,,,,,,
7,20191104.0,18.6,18.35,637,18.6,"1,901,199",,,,,,,,,,,,
8,20191101.0,18.4,17.85,531,18.25,"1,340,076",,,,,,,,,,,,
9,20191031.0,18.35,18.0,296,18.05,"579,921",,,,,,,,,,,,
10,20191030.0,18.3,18.1,279,18.1,"510,839",,,,,,,,,,,,
11,20191029.0,18.7,18.1,625,18.15,"1,388,133",,,,,,,,,,,,
12,20191028.0,18.5,18.3,260,18.3,"535,411",,,,,,,,,,,,
13,20191025.0,18.8,18.35,790,18.35,"1,606,248",,,,,,,,,,,,
14,20191024.0,19.15,18.25,"1,230",18.8,"3,923,709",,,,,,,,,,,,
15,20191023.0,18.6,18.25,246,18.35,"422,002",,,,,,,,,,,,
16,20191022.0,18.7,18.35,291,18.4,"514,479",,,,,,,,,,,,
17,20191021.0,18.7,18.45,286,18.55,"498,138",,,,,,,,,,,,
18,20191018.0,19.0,18.55,502,18.65,"1,134,329",,,,,,,,,,,,
19,20191017.0,19.0,18.3,881,19.0,"1,778,137",,,,,,,,,,,,
20,20191016.0,18.75,18.25,444,18.25,"850,100",,,,,,,,,,,,
21,20191015.0,18.4,18.25,288,18.4,"566,854",,,,,,,,,,,,
22,20191014.0,18.45,18.0,638,18.15,"1,157,409",,,,,,,,,,,,
23,20191009.0,17.75,17.4,343,17.55,"671,000",,,,,,,,,,,,
24,20191008.0,18.55,17.7,817,17.7,"1,465,807",,,,,,,,,,,,
25,20191007.0,18.7,18.35,331,18.35,"650,583",,,,,,,,,,,,
26,20191004.0,18.75,18.35,446,18.45,"894,450",,,,,,,,,,,,
27,20191003.0,18.85,18.2,484,18.65,"1,226,000",,,,,,,,,,,,
28,20191002.0,18.85,18.35,843,18.55,"1,516,399",,,,,,,,,,,,
29,20190927.0,20.3,18.45,"6,345",18.45,"13,949,930",,,,,,,,,,,,
30,20190926.0,18.8,18.4,729,18.8,"2,272,950",,,,,,,,,,,,
31,20190925.0,18.8,18.3,467,18.3,"877,001",,,,,,,,,,,,
32,20190924.0,18.85,18.65,360,18.7,"807,360",,,,,,,,,,,,
33,20190923.0,18.9,18.6,776,18.75,"1,749,380",,,,,,,,,,,,
34,20190920.0,19.3,18.5,"3,410",18.85,"9,004,364",,,,,,,,,,,,
35,20190919.0,18.5,18.05,805,18.5,"3,427,742",,,,,,,,,,,,
36,20190918.0,18.45,18.15,965,18.2,"3,779,000",,,,,,,,,,,,
37,20190917.0,18.45,18.1,662,18.25,"1,735,137",,,,,,,,,,,,
38,20190916.0,18.45,17.9,921,18.45,"4,239,109",,,,,,,,,,,,
39,20190912.0,18.4,18.05,824,18.05,"2,679,319",,,,,,,,,,,,
40,20190911.0,18.4,17.65,"1,198",18.35,"4,560,155",,,,,,,,,,,,
41,20190910.0,18.6,17.75,"1,196",18.05,"2,940,512",,,,,,,,,,,,
42,20190909.0,18.65,17.9,"3,021",18.65,"8,168,604",,,,,,,,,,,,
43,20190906.0,17.85,17.3,513,17.85,"1,214,333",,,,,,,,,,,,
44,20190905.0,17.7,17.35,318,17.4,"794,266",,,,,,,,,,,,
45,20190904.0,17.7,17.3,348,17.45,"777,552",,,,,,,,,,,,
46,20190903.0,17.85,17.35,496,17.45,"979,200",,,,,,,,,,,,
