,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,20.30,20.20,44,20.20,"126,000"
1,20191108,20.3,20.05,32,20.3,"51,000"
2,20191107,20.3,20.15,34,20.3,"75,050"
3,20191106,20.35,20.15,32,20.15,"98,100"
4,20191105,20.45,20.3,81,20.3,"244,150"
5,20191104,20.5,20.0,86,20.3,"211,372"
6,20191101,20.05,20.0,21,20.0,"64,000"
7,20191031,20.1,20.05,23,20.05,"36,100"
8,20191030,20.2,20.1,34,20.15,"64,876"
9,20191029,20.15,20.0,30,20.1,"36,000"
10,20191028,20.15,20.1,17,20.1,"25,020"
11,20191025,20.25,20.1,28,20.2,"47,298"
12,20191024,20.25,20.1,29,20.2,"59,330"
13,20191023,20.25,20.05,29,20.2,"44,121"
14,20191022,20.35,20.25,41,20.3,"73,220"
15,20191021,20.35,20.2,34,20.35,"39,707"
16,20191018,20.2,20.1,22,20.2,"31,115"
17,20191017,20.25,20.1,35,20.2,"75,424"
18,20191016,20.4,19.9,65,20.15,"71,000"
19,20191015,20.1,19.95,48,20.0,"90,647"
20,20191014,20.2,20.0,96,20.1,"171,925"
21,20191009,20.1,19.85,41,20.0,"92,512"
22,20191008,19.9,19.75,38,19.75,"68,000"
23,20191007,19.95,19.8,26,19.8,"32,182"
24,20191004,19.95,19.65,56,19.8,"65,161"
25,20191003,19.8,19.65,16,19.8,"30,000"
26,20191002,20.1,19.85,36,20.05,"73,080"
27,20190927,20.15,19.85,77,20.0,"114,551"
28,20190926,20.2,20.1,40,20.1,"60,444"
29,20190925,20.3,20.1,34,20.2,"61,156"
30,20190924,20.3,20.2,29,20.25,"36,900"
31,20190923,20.6,20.0,137,20.3,"242,999"
32,20190920,20.7,19.9,64,20.7,"123,669"
33,20190919,20.0,19.9,48,19.9,"81,999"
34,20190918,20.1,20.0,88,20.05,"98,041"
35,20190917,20.15,20.0,58,20.05,"134,000"
36,20190916,20.25,20.05,53,20.1,"85,122"
37,20190912,20.1,19.95,66,20.1,"157,508"
38,20190911,20.15,19.85,182,20.0,"329,100"
39,20190910,20.0,19.6,138,19.9,"204,213"
40,20190909,19.6,19.5,21,19.5,"36,180"
41,20190906,19.6,19.5,31,19.5,"41,400"
42,20190905,19.85,19.6,30,19.6,"49,000"
43,20190904,19.8,19.65,24,19.65,"32,436"
44,20190903,19.75,19.65,28,19.65,"31,436"
45,20190902,19.65,19.35,24,19.65,"39,366"
46,20190830,19.45,19.3,38,19.4,"54,819"
47,20190829,19.55,19.35,65,19.45,"129,001"
48,20190828,19.6,19.55,18,19.55,"28,001"
49,20190827,19.6,19.5,28,19.6,"28,080"
50,20190826,19.65,19.55,24,19.55,"23,602"
51,20190823,19.85,19.65,21,19.65,"23,000"
52,20190822,19.85,19.7,45,19.85,"76,300"
53,20190821,20.0,19.75,60,19.75,"71,363"
54,20190820,20.05,19.7,109,19.9,"166,716"
55,20190819,19.7,19.45,43,19.7,"61,294"
56,20190816,19.65,19.4,31,19.45,"66,100"
57,20190815,19.5,19.3,56,19.5,"98,500"
58,20190814,19.65,19.5,58,19.5,"86,100"
59,20190813,19.75,19.5,37,19.6,"58,000"
60,20190812,20.0,19.5,82,19.6,"120,139"
61,20190808,19.9,19.6,44,19.9,"58,500"
62,20190807,19.75,19.6,39,19.75,"47,100"
63,20190806,19.85,19.4,89,19.7,"156,600"
64,20190805,20.4,19.7,140,19.9,"185,100"
