,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,78.10,75.30,427,75.60,"494,087"
1,20191108,79.6,78.1,245,78.2,"294,516"
2,20191107,80.8,78.8,232,79.1,"285,200"
3,20191106,81.9,80.0,207,80.0,"268,326"
4,20191105,81.5,80.1,234,80.7,"311,205"
5,20191104,80.9,79.7,223,79.7,"248,934"
6,20191101,81.0,80.2,131,80.4,"158,228"
7,20191031,82.6,80.5,282,80.5,"359,000"
8,20191030,82.0,80.9,154,81.2,"203,774"
9,20191029,83.2,81.5,224,81.5,"273,010"
10,20191028,83.2,82.1,168,82.4,"197,100"
11,20191025,84.1,82.0,334,82.0,"392,370"
12,20191024,84.4,82.2,"1,313",82.8,"1,645,173"
13,20191023,80.9,79.8,111,80.0,"152,487"
14,20191022,81.0,80.0,153,80.4,"225,251"
15,20191021,80.8,79.4,157,80.8,"171,519"
16,20191018,80.5,79.5,109,79.6,"133,356"
17,20191017,80.0,79.5,101,79.7,"127,107"
18,20191016,79.9,79.0,151,79.5,"165,157"
19,20191015,79.2,78.7,172,78.8,"191,245"
20,20191014,80.9,78.8,245,78.9,"284,429"
21,20191009,80.1,79.0,235,79.2,"257,037"
22,20191008,81.5,80.1,113,80.3,"108,803"
23,20191007,81.4,80.3,147,80.3,"201,858"
24,20191004,81.8,80.0,248,80.6,"332,449"
25,20191003,81.8,80.6,139,81.5,"150,393"
26,20191002,82.6,81.2,527,82.3,"647,210"
27,20190927,80.9,79.2,239,79.4,"286,471"
28,20190926,80.8,79.7,167,79.8,"235,457"
29,20190925,81.5,79.8,365,80.0,"507,134"
30,20190924,82.4,81.3,302,81.3,"365,149"
31,20190923,83.6,82.0,330,82.3,"427,640"
32,20190920,85.6,83.5,586,83.8,"725,881"
33,20190919,84.7,81.8,932,84.5,"1,118,043"
34,20190918,83.8,80.5,646,81.8,"865,863"
35,20190917,84.6,83.2,334,83.5,"455,407"
36,20190916,84.8,82.3,686,84.1,"920,103"
37,20190912,84.2,82.7,410,82.8,"542,920"
38,20190911,83.4,82.2,439,83.0,"567,065"
39,20190910,82.6,80.6,407,82.2,"469,930"
40,20190909,83.8,82.0,680,82.6,"837,122"
41,20190906,81.5,80.6,407,81.4,"501,041"
42,20190905,80.7,80.0,303,80.7,"351,955"
43,20190904,80.7,79.8,259,80.5,"304,530"
44,20190903,81.0,79.6,417,79.8,"511,028"
45,20190902,79.5,78.8,303,79.4,"380,850"
46,20190830,79.7,78.2,415,78.6,"502,657"
47,20190829,78.8,77.6,226,78.1,"277,023"
48,20190828,79.2,77.5,530,77.6,"627,452"
49,20190827,78.7,76.8,482,78.3,"537,701"
50,20190826,77.6,76.0,301,76.6,"362,350"
51,20190823,77.8,76.6,385,77.7,"472,886"
52,20190822,77.6,76.5,320,76.7,"381,342"
53,20190821,77.5,75.9,488,77.1,"580,529"
54,20190820,76.6,75.6,334,75.9,"398,866"
55,20190819,76.0,75.0,357,75.6,"418,746"
56,20190816,74.9,72.9,800,74.5,"950,843"
57,20190815,72.5,69.4,318,72.3,"363,693"
58,20190814,73.2,71.2,240,71.2,"302,250"
59,20190813,72.8,71.6,160,71.7,"168,400"
60,20190812,73.9,72.1,316,73.3,"394,422"
61,20190808,72.9,70.9,287,72.5,"349,258"
62,20190807,72.3,70.8,365,70.8,"417,659"
63,20190806,71.8,67.8,368,71.8,"409,332"
64,20190805,73.2,71.2,400,71.2,"490,688"
