,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,201,"652,001","5,142,474",7.80,20191119,7.75,8.00,0.00,0.18,1449,佳和,7.95
1,252,"753,452","6,059,700",7.98,20191118,7.86,8.20,0.0,0.17,1449,佳和,7.89
2,254,"932,600","7,363,272",7.81,20191115,7.80,7.97,0.0,0.14,1449,佳和,7.80
3,276,"783,708","6,018,250",7.67,20191114,7.60,7.82,0.0,0.3,1449,佳和,7.60
4,367,"924,370","7,227,593",7.97,20191113,7.41,8.03,0.0,0.51,1449,佳和,7.41
5,208,"772,986","5,805,525",7.46,20191112,7.45,7.65,20.72,0.01,1449,佳和,7.60
6,201,"651,364","4,815,758",7.45,20191111,7.28,7.50,20.69,0.05,1449,佳和,7.40
7,292,"885,896","6,575,387",7.40,20191108,7.23,7.75,20.56,0.23,1449,佳和,7.63
8,259,"668,309","5,283,665",7.63,20191107,7.60,8.17,21.19,0.27,1449,佳和,8.17
9,250,"843,850","6,667,788",7.90,20191106,7.83,8.00,21.94,0.14,1449,佳和,7.83
10,554,"1,643,369","12,834,201",7.76,20191105,7.64,8.02,21.56,0.05,1449,佳和,7.81
11,638,"2,549,424","19,634,230",7.71,20191104,7.39,7.81,21.42,0.61,1449,佳和,7.49
12,574,"1,817,021","13,169,284",7.10,20191101,6.96,7.64,19.72,0.21,1449,佳和,7.64
13,583,"2,604,118","18,763,019",7.31,20191031,6.75,7.31,20.31,0.66,1449,佳和,6.80
14,335,"1,582,286","10,490,677",6.65,20191030,6.32,6.65,18.47,0.6,1449,佳和,6.60
15,298,"1,251,447","7,356,825",6.05,20191029,5.65,6.14,16.81,0.0,1449,佳和,6.00
16,392,"2,791,336","16,820,471",6.05,20191028,5.67,6.05,16.81,0.55,1449,佳和,5.67
17,124,"468,277","2,553,233",5.50,20191025,5.32,5.54,15.28,0.25,1449,佳和,5.32
18,73,"270,032","1,425,805",5.25,20191024,5.23,5.37,14.58,0.09,1449,佳和,5.29
19,62,"153,500","791,818",5.16,20191023,5.10,5.33,14.33,0.0,1449,佳和,5.15
20,131,"512,704","2,603,677",5.16,20191022,5.00,5.18,14.33,0.14,1449,佳和,5.00
21,233,"1,085,588","5,751,457",5.30,20191021,4.95,5.34,14.72,0.44,1449,佳和,4.95
22,21,"61,918","301,042",4.86,20191018,4.83,4.90,13.5,0.06,1449,佳和,4.87
23,19,"61,001","293,014",4.80,20191017,4.67,4.84,13.33,0.0,1449,佳和,4.80
24,35,"115,135","549,085",4.80,20191016,4.74,4.84,13.33,0.05,1449,佳和,4.76
25,22,"69,072","329,138",4.75,20191015,4.65,4.81,13.19,0.14,1449,佳和,4.81
26,38,"133,873","616,425",4.61,20191014,4.50,4.97,12.81,0.01,1449,佳和,4.97
27,30,"67,000","304,090",4.60,20191009,4.40,4.70,12.78,0.19,1449,佳和,4.40
28,23,"22,631","97,733",4.41,20191008,4.12,4.48,12.25,0.18,1449,佳和,4.12
29,20,"71,398","300,941",4.23,20191007,4.04,4.30,11.75,0.11,1449,佳和,4.30
30,26,"26,058","112,709",4.34,20191004,4.30,4.36,12.06,0.01,1449,佳和,4.36
31,19,"41,131","178,402",4.35,20191003,4.28,4.35,12.08,0.0,1449,佳和,4.28
32,28,"30,498","134,057",4.35,20191002,4.35,4.43,12.08,0.13,1449,佳和,4.43
33,8,"9,170","40,748",4.48,20191001,4.38,4.56,12.44,0.12,1449,佳和,4.38
34,25,"24,110","109,492",4.60,20190927,4.45,4.60,12.78,0.08,1449,佳和,4.56
35,17,"29,260","135,316",4.68,20190926,4.61,4.70,13.0,0.0,1449,佳和,4.70
36,21,"25,172","117,967",4.68,20190925,4.61,4.70,13.0,0.0,1449,佳和,4.70
37,1,5,23,--,20190924,--,--,13.0,0.0,1449,佳和,--
38,13,"8,896","41,409",4.71,20190923,4.63,4.71,13.08,0.03,1449,佳和,4.63
39,11,"3,031","13,997",4.68,20190920,4.68,4.68,13.0,0.0,1449,佳和,4.68
40,1,4,18,--,20190919,--,--,13.03,0.0,1449,佳和,--
41,26,"51,003","235,101",4.71,20190918,4.58,4.71,13.08,0.03,1449,佳和,4.68
42,2,"3,000","14,080",4.68,20190917,4.68,4.7,13.0,0.06,1449,佳和,4.7
43,19,"27,000","127,330",4.74,20190916,4.68,4.74,13.17,0.07,1449,佳和,4.68
44,8,"5,462","25,415",4.67,20190912,4.65,4.67,12.97,0.1,1449,佳和,4.66
45,3,"1,002","4,778",4.77,20190911,4.77,4.77,13.25,0.03,1449,佳和,4.77
46,11,"5,072","24,028",4.74,20190910,4.74,4.74,13.17,0.01,1449,佳和,4.74
47,7,"1,039","4,909",4.73,20190909,4.73,4.73,13.14,0.04,1449,佳和,4.73
48,6,"6,272","29,331",4.69,20190906,4.66,4.69,13.03,0.01,1449,佳和,4.69
49,18,"11,495","53,692",4.7,20190905,4.65,4.74,13.06,0.02,1449,佳和,4.74
50,20,"25,002","116,788",4.72,20190904,4.64,4.72,13.11,0.02,1449,佳和,4.65
51,13,"5,021","23,553",4.7,20190903,4.68,4.71,13.06,0.02,1449,佳和,4.71
52,24,"3,192","15,042",4.72,20190902,4.7,4.73,13.11,0.03,1449,佳和,4.73
53,13,"8,886","41,705",4.75,20190830,4.6,4.75,13.19,0.0,1449,佳和,4.6
54,17,"13,361","62,881",4.75,20190829,4.61,4.75,13.19,0.03,1449,佳和,4.74
55,7,"5,440","25,893",4.72,20190828,4.72,4.8,13.11,0.09,1449,佳和,4.8
56,9,"14,212","68,775",4.81,20190827,4.81,4.85,13.36,0.03,1449,佳和,4.85
57,28,"7,021","33,724",4.78,20190826,4.78,4.84,13.28,0.03,1449,佳和,4.82
58,8,"6,105","29,112",4.81,20190823,4.7,4.81,13.36,0.01,1449,佳和,4.81
59,12,"17,733","84,664",4.82,20190822,4.76,4.85,13.39,0.02,1449,佳和,4.85
60,20,"21,004","101,248",4.84,20190821,4.77,4.84,13.44,0.01,1449,佳和,4.84
61,9,"12,265","59,043",4.83,20190820,4.75,4.84,13.42,0.13,1449,佳和,4.83
