,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,77.00,76.30,110,76.60,"122,000"
1,20191108,78.7,77.7,61,78.4,"63,200"
2,20191107,77.6,77.5,16,77.6,"20,000"
3,20191106,78.5,77.5,71,78.2,"72,250"
4,20191105,79.0,78.2,33,78.3,"36,400"
5,20191104,78.8,78.3,63,78.8,"77,030"
6,20191101,78.2,77.7,35,78.2,"35,153"
7,20191031,77.5,77.2,15,77.5,"18,000"
8,20191030,77.7,77.2,26,77.2,"26,026"
9,20191029,78.5,77.6,55,77.6,"64,010"
10,20191028,78.6,78.1,56,78.2,"71,117"
11,20191025,78.1,77.2,81,78.1,"98,273"
12,20191024,77.3,76.5,60,77.3,"80,000"
13,20191023,76.6,76.2,48,76.4,"60,076"
14,20191022,76.4,76.0,66,76.3,"65,135"
15,20191021,76.3,75.0,44,75.9,"45,040"
16,20191018,75.8,74.6,250,75.0,"487,720"
17,20191017,76.5,75.0,61,75.8,"79,000"
18,20191016,76.8,76.3,24,76.5,"27,000"
19,20191015,76.9,75.8,75,76.4,"81,026"
20,20191014,76.3,75.9,29,76.0,"30,082"
21,20191009,76.3,75.7,52,75.7,"59,500"
22,20191008,76.0,75.3,49,75.8,"51,418"
23,20191007,76.0,74.9,51,75.3,"51,465"
24,20191004,75.6,74.8,47,74.9,"42,317"
25,20191003,75.4,74.5,50,75.2,"52,812"
26,20191002,75.2,74.6,99,74.8,"115,648"
27,20190927,77.1,75.1,112,76.0,"114,001"
28,20190926,77.5,77.0,56,77.1,"52,240"
29,20190925,77.5,77.2,31,77.3,"29,590"
30,20190924,77.5,77.2,38,77.3,"38,040"
31,20190923,77.5,77.1,35,77.3,"32,135"
32,20190920,77.5,77.3,23,77.3,"21,526"
33,20190919,77.9,77.2,29,77.3,"29,000"
34,20190918,77.8,77.0,36,77.7,"34,567"
35,20190917,77.3,77.1,17,77.2,"18,000"
36,20190916,77.8,77.0,59,77.1,"73,002"
37,20190912,78.1,77.5,37,77.6,"42,002"
38,20190911,78.1,77.6,25,77.7,"22,101"
39,20190910,77.9,77.4,12,77.7,"11,100"
40,20190909,78.0,77.0,38,77.4,"45,200"
41,20190906,78.4,77.7,50,77.7,"78,000"
42,20190905,78.3,77.8,40,77.9,"51,050"
43,20190904,78.8,78.2,37,78.2,"40,500"
44,20190903,78.4,78.1,45,78.1,"57,324"
45,20190902,78.3,77.7,26,78.0,"33,000"
46,20190830,78.4,77.0,51,77.5,"49,140"
47,20190829,76.9,76.5,12,76.7,"11,001"
48,20190828,76.8,76.2,42,76.8,"49,030"
49,20190827,76.4,76.0,63,76.4,"67,000"
50,20190826,76.6,76.1,77,76.5,"82,963"
51,20190823,78.1,77.0,136,77.1,"149,852"
52,20190822,79.0,78.1,44,78.1,"49,000"
53,20190821,79.6,78.5,56,78.5,"53,500"
54,20190820,79.3,78.5,62,79.1,"71,205"
55,20190819,79.6,79.2,34,79.3,"29,886"
56,20190816,79.4,79.0,59,79.2,"52,660"
57,20190815,79.5,79.0,50,79.4,"59,055"
58,20190814,79.8,79.5,60,79.5,"64,151"
59,20190813,80.8,79.0,172,79.5,"216,175"
60,20190812,81.5,80.7,48,81.1,"41,936"
61,20190808,81.8,81.2,29,81.8,"32,015"
62,20190807,81.9,81.0,46,81.2,"46,100"
63,20190806,82.4,80.7,66,81.9,"96,000"
64,20190805,82.2,81.5,79,82.0,"118,000"
