,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,43,"124,000","996,730",8.06,20191113.0,8.02,8.07,57.57,0.01,1467,南緯,8.05
1,20191112.0,8.14,8.02,59.0,8.05,"182,150",,,,,,,,,,,,
2,20191111.0,8.38,8.0,127.0,8.1,"390,000",,,,,,,,,,,,
3,20191108.0,8.45,8.38,39.0,8.38,"208,120",,,,,,,,,,,,
4,20191107.0,8.52,8.43,49.0,8.43,"143,000",,,,,,,,,,,,
5,20191106.0,8.47,8.39,65.0,8.46,"153,843",,,,,,,,,,,,
6,20191105.0,8.45,8.37,75.0,8.45,"175,700",,,,,,,,,,,,
7,20191104.0,8.48,8.4,73.0,8.45,"156,600",,,,,,,,,,,,
8,20191101.0,8.48,8.41,58.0,8.48,"114,200",,,,,,,,,,,,
9,20191031.0,8.48,8.43,50.0,8.48,"124,204",,,,,,,,,,,,
10,20191030.0,8.49,8.45,63.0,8.47,"135,763",,,,,,,,,,,,
11,20191029.0,8.5,8.4,88.0,8.46,"222,500",,,,,,,,,,,,
12,20191028.0,8.45,8.4,54.0,8.42,"169,000",,,,,,,,,,,,
13,20191025.0,8.45,8.36,83.0,8.43,"213,675",,,,,,,,,,,,
14,20191024.0,8.43,8.4,26.0,8.41,"49,100",,,,,,,,,,,,
15,20191023.0,8.45,8.39,72.0,8.4,"159,610",,,,,,,,,,,,
16,20191022.0,8.47,8.42,57.0,8.44,"175,480",,,,,,,,,,,,
17,20191021.0,8.49,8.46,42.0,8.46,"169,403",,,,,,,,,,,,
18,20191018.0,8.5,8.46,23.0,8.47,"78,000",,,,,,,,,,,,
19,20191017.0,8.5,8.46,38.0,8.47,"128,875",,,,,,,,,,,,
20,20191016.0,8.52,8.47,76.0,8.49,"298,765",,,,,,,,,,,,
21,20191015.0,8.55,8.44,99.0,8.47,"538,000",,,,,,,,,,,,
22,20191014.0,8.57,8.43,70.0,8.44,"192,432",,,,,,,,,,,,
23,20191009.0,8.49,8.42,31.0,8.42,"53,421",,,,,,,,,,,,
24,20191008.0,8.52,8.45,29.0,8.49,"60,300",,,,,,,,,,,,
25,20191007.0,8.53,8.5,31.0,8.5,"81,000",,,,,,,,,,,,
26,20191004.0,8.54,8.5,33.0,8.52,"59,220",,,,,,,,,,,,
27,20191003.0,8.55,8.46,37.0,8.53,"94,000",,,,,,,,,,,,
28,20191002.0,8.56,8.47,29.0,8.52,"50,000",,,,,,,,,,,,
29,20190927.0,8.56,8.45,146.0,8.51,"443,082",,,,,,,,,,,,
30,20190926.0,8.58,8.5,125.0,8.56,"373,001",,,,,,,,,,,,
31,20190925.0,8.59,8.5,155.0,8.56,"318,897",,,,,,,,,,,,
32,20190924.0,8.61,8.5,159.0,8.57,"444,006",,,,,,,,,,,,
33,20190923.0,8.59,8.53,64.0,8.53,"240,000",,,,,,,,,,,,
34,20190920.0,8.7,8.51,96.0,8.56,"444,100",,,,,,,,,,,,
35,20190919.0,8.62,8.55,48.0,8.62,"141,000",,,,,,,,,,,,
36,20190918.0,8.66,8.57,117.0,8.58,"347,230",,,,,,,,,,,,
37,20190917.0,8.64,8.6,37.0,8.61,"189,281",,,,,,,,,,,,
38,20190916.0,8.71,8.54,75.0,8.6,"301,001",,,,,,,,,,,,
39,20190912.0,8.72,8.61,94.0,8.67,"329,001",,,,,,,,,,,,
40,20190911.0,8.79,8.68,51.0,8.69,"146,140",,,,,,,,,,,,
41,20190910.0,8.71,8.6,59.0,8.68,"185,371",,,,,,,,,,,,
42,20190909.0,8.77,8.67,31.0,8.71,"39,200",,,,,,,,,,,,
43,20190906.0,8.73,8.66,52.0,8.67,"128,172",,,,,,,,,,,,
44,20190905.0,8.78,8.69,54.0,8.72,"136,329",,,,,,,,,,,,
45,20190904.0,8.75,8.66,47.0,8.74,"100,621",,,,,,,,,,,,
46,20190903.0,8.99,8.74,75.0,8.74,"223,200",,,,,,,,,,,,
47,20190902.0,8.85,8.77,45.0,8.8,"157,022",,,,,,,,,,,,
48,20190830.0,8.9,8.74,102.0,8.79,"354,002",,,,,,,,,,,,
49,20190829.0,8.8,8.72,36.0,8.75,"102,045",,,,,,,,,,,,
50,20190828.0,8.88,8.7,108.0,8.75,"478,485",,,,,,,,,,,,
51,20190827.0,8.69,8.57,83.0,8.62,"303,687",,,,,,,,,,,,
52,20190826.0,8.73,8.65,40.0,8.65,"177,001",,,,,,,,,,,,
53,20190823.0,8.78,8.64,59.0,8.74,"177,000",,,,,,,,,,,,
54,20190822.0,8.84,8.66,39.0,8.78,"114,001",,,,,,,,,,,,
55,20190821.0,8.88,8.75,71.0,8.79,"183,000",,,,,,,,,,,,
56,20190820.0,8.82,8.65,31.0,8.77,"96,001",,,,,,,,,,,,
57,20190819.0,8.78,8.7,68.0,8.73,"369,100",,,,,,,,,,,,
58,20190816.0,8.77,8.56,63.0,8.56,"139,000",,,,,,,,,,,,
59,20190815.0,8.67,8.53,71.0,8.53,"169,060",,,,,,,,,,,,
60,20190814.0,8.92,8.63,112.0,8.68,"306,082",,,,,,,,,,,,
61,20190813.0,8.96,8.8,36.0,8.84,"71,241",,,,,,,,,,,,
62,20190812.0,9.04,8.7,74.0,8.98,"298,420",,,,,,,,,,,,
63,20190808.0,8.77,8.65,64.0,8.73,"201,289",,,,,,,,,,,,
64,20190807.0,8.72,8.64,83.0,8.66,"257,000",,,,,,,,,,,,
65,20190806.0,8.79,8.53,128.0,8.56,"499,000",,,,,,,,,,,,
66,20190805.0,9.0,8.78,111.0,8.78,"294,141",,,,,,,,,,,,
