,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,11,"20,520","369,608",18.05,20191122,17.95,18.05,34.06,0.10,1713,國化,17.95
1,13,"9,930","178,052",17.95,20191121,17.90,17.95,33.87,0.05,1713,國化,17.95
2,23,"149,079","2,683,406",18.00,20191120,18.00,18.00,33.96,0.05,1713,國化,18.00
3,26,"46,395","834,730",17.95,20191119,17.95,18.10,33.87,0.1,1713,國化,18.10
4,3,"2,224","40,109",18.05,20191118,18.05,18.05,34.06,0.05,1713,國化,18.05
5,18,"44,000","795,550",18.00,20191115,18.00,18.25,33.96,0.0,1713,國化,18.00
6,9,"13,469","242,648",18.00,20191114,18.00,18.05,33.96,0.1,1713,國化,18.00
7,24,"72,681","1,300,853",17.90,20191113,17.90,17.90,33.77,0.1,1713,國化,17.90
8,14,"34,001","606,867",17.80,20191112,17.80,17.90,33.58,0.05,1713,國化,17.90
9,11,"15,033","267,963",17.85,20191111,17.85,17.90,33.68,0.05,1713,國化,17.90
10,5,"7,000","125,300",17.90,20191108,17.90,17.90,33.77,0.0,1713,國化,17.90
11,14,"16,548","296,890",17.90,20191107,17.90,17.95,33.77,0.05,1713,國化,17.95
12,12,"13,100","234,880",17.95,20191106,17.90,17.95,33.87,0.0,1713,國化,17.95
13,22,"69,362","1,249,845",17.95,20191105,17.90,18.20,33.87,0.0,1713,國化,17.90
14,5,"1,004","18,018",17.95,20191104,17.95,17.95,25.64,0.05,1713,國化,17.95
15,6,"13,004","233,271",17.90,20191101,17.90,17.95,25.57,0.0,1713,國化,17.95
16,15,"22,574","404,909",17.90,20191031,17.90,18.00,25.57,0.1,1713,國化,18.00
17,9,"6,112","109,842",18.00,20191030,17.95,18.00,25.71,0.0,1713,國化,18.00
18,35,"58,118","1,044,074",18.00,20191029,17.90,18.10,25.71,0.2,1713,國化,18.10
19,9,"12,000","216,750",18.20,20191028,18.00,18.20,26.0,0.1,1713,國化,18.00
20,101,"262,075","4,743,818",18.10,20191025,17.50,18.75,25.86,0.5,1713,國化,18.75
21,12,"38,005","705,692",18.60,20191024,18.50,18.65,26.57,0.2,1713,國化,18.50
22,4,"7,000","128,800",18.40,20191023,18.40,18.40,26.29,0.15,1713,國化,18.40
23,19,"44,567","824,465",18.55,20191022,18.45,18.55,26.5,0.25,1713,國化,18.55
24,56,"86,701","1,619,271",18.80,20191021,18.25,19.25,26.86,0.5,1713,國化,18.30
25,28,"151,001","2,765,368",18.30,20191018,18.25,18.50,26.14,0.1,1713,國化,18.25
26,10,"15,377","280,717",18.20,20191017,18.20,18.30,26.0,0.05,1713,國化,18.30
27,29,"57,420","1,045,272",18.25,20191016,18.15,18.25,26.07,0.05,1713,國化,18.25
28,18,"23,999","437,881",18.20,20191015,18.15,18.35,26.0,0.05,1713,國化,18.15
29,11,"26,042","472,706",18.15,20191014,18.10,18.20,25.93,0.0,1713,國化,18.20
30,5,"2,178","39,504",18.15,20191009,18.15,18.15,25.93,0.05,1713,國化,18.15
31,30,"53,491","968,138",18.20,20191008,17.90,18.20,26.0,0.25,1713,國化,18.10
32,8,"1,266,316","22,911,968",17.95,20191007,17.95,18.05,25.64,0.0,1713,國化,18.05
33,35,"58,000","1,035,800",17.95,20191004,17.75,18.05,25.64,0.1,1713,國化,18.05
34,8,"38,665","698,452",18.05,20191003,18.05,18.10,25.79,0.0,1713,國化,18.10
35,1,1,17,--,20191002,--,--,25.93,0.0,1713,國化,--
36,7,"36,000","653,300",18.15,20191001,18.00,18.20,25.93,0.1,1713,國化,18.15
37,42,"112,190","2,028,628",18.05,20190927,17.95,18.20,25.79,0.05,1713,國化,18.00
38,12,"35,746","648,402",18.10,20190926,18.10,18.20,25.86,0.0,1713,國化,18.15
39,15,"81,491","1,475,387",18.10,20190925,18.10,18.20,25.86,0.15,1713,國化,18.15
40,20,"114,854","2,088,780",18.25,20190924,18.10,18.25,26.07,0.05,1713,國化,18.10
41,18,"102,000","1,854,100",18.20,20190923,18.15,18.25,26.0,0.05,1713,國化,18.25
42,18,"54,203","984,084",18.25,20190920,18.10,18.25,26.07,0.05,1713,國化,18.25
43,11,"34,081","619,316",18.20,20190919,18.15,18.25,26.0,0.05,1713,國化,18.25
44,37,"103,012","1,871,467",18.25,20190918,18.15,18.25,26.07,0.05,1713,國化,18.20
45,10,"32,000","581,350",18.20,20190917,18.15,18.20,26.0,0.05,1713,國化,18.20
46,20,"61,718","1,127,745",18.25,20190916,18.10,18.30,26.07,0.0,1713,國化,18.10
47,8,"14,718","269,260",18.25,20190912,18.15,18.25,26.07,0.05,1713,國化,18.20
48,8,"9,537","173,192",18.20,20190911,18.10,18.20,26.0,0.05,1713,國化,18.20
49,7,"6,244","113,328",18.15,20190910,18.15,18.15,25.93,0.0,1713,國化,18.15
50,5,"39,323","713,462",18.15,20190909,18.10,18.15,25.93,0.05,1713,國化,18.10
51,13,"69,346","1,255,262",18.20,20190906,18.10,18.20,26.0,0.1,1713,國化,18.10
52,29,"90,397","1,636,494",18.10,20190905,18.10,18.15,25.86,0.0,1713,國化,18.15
53,5,"13,112","237,303",18.10,20190904,18.10,18.10,25.86,0.0,1713,國化,18.10
54,3,3,54,--,20190903,--,--,25.93,0.0,1713,國化,--
55,9,"2,562","46,498",18.15,20190902,18.15,18.15,25.93,0.0,1713,國化,18.15
56,22,"62,207","1,128,426",18.15,20190830,18.1,18.2,25.93,0.05,1713,國化,18.1
57,16,"33,899","610,632",18.1,20190829,17.95,18.1,25.86,0.05,1713,國化,17.95
58,26,"110,499","1,996,332",18.05,20190828,18.05,18.1,25.79,0.0,1713,國化,18.05
59,29,"76,000","1,371,850",18.05,20190827,18.0,18.1,25.79,0.05,1713,國化,18.0
60,6,"16,156","290,558",18.0,20190826,17.95,18.0,25.71,0.0,1713,國化,18.0
61,8,"11,507","207,073",18.0,20190823,18.0,18.0,25.71,0.0,1713,國化,18.0
62,9,"12,581","227,500",18.0,20190822,18.0,18.0,25.71,0.0,1713,國化,18.0
63,39,"103,308","1,865,459",18.0,20190821,18.0,18.1,25.71,0.05,1713,國化,18.05
64,12,"21,262","383,751",18.05,20190820,18.05,18.05,25.79,0.0,1713,國化,18.05
65,11,"17,448","314,689",18.05,20190819,17.95,18.05,25.79,0.0,1713,國化,18.05
66,14,"48,192","870,765",18.05,20190816,18.0,18.15,25.79,0.05,1713,國化,18.0
67,5,"25,001","450,267",18.0,20190815,18.0,18.05,25.71,0.05,1713,國化,18.05
68,12,"24,304","438,224",17.95,20190814,17.95,18.1,25.64,0.05,1713,國化,18.0
69,6,"3,132","56,376",18.0,20190813,18.0,18.0,25.71,0.0,1713,國化,18.0
70,16,"59,100","1,068,334",18.0,20190812,17.95,18.2,25.71,0.15,1713,國化,18.1
