,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,29,"87,002","1,017,922",11.70,20191113.0,11.70,11.70,45.00,0.00,2024,志聯,11.70
1,20191112.0,11.75,11.7,18.0,11.7,"66,001",,,,,,,,,,,,
2,20191111.0,11.75,11.7,19.0,11.7,"66,003",,,,,,,,,,,,
3,20191108.0,11.75,11.55,35.0,11.75,"133,922",,,,,,,,,,,,
4,20191107.0,11.65,11.65,11.0,11.65,"18,214",,,,,,,,,,,,
5,20191106.0,11.75,11.65,27.0,11.7,"84,992",,,,,,,,,,,,
6,20191105.0,11.75,11.7,28.0,11.7,"165,185",,,,,,,,,,,,
7,20191104.0,11.75,11.7,18.0,11.7,"51,330",,,,,,,,,,,,
8,20191101.0,11.8,11.7,26.0,11.75,"44,384",,,,,,,,,,,,
9,20191031.0,11.9,11.8,48.0,11.8,"171,114",,,,,,,,,,,,
10,20191030.0,11.8,11.7,28.0,11.8,"40,705",,,,,,,,,,,,
11,20191029.0,11.75,11.45,66.0,11.7,"299,002",,,,,,,,,,,,
12,20191028.0,11.5,11.4,17.0,11.4,"25,006",,,,,,,,,,,,
13,20191025.0,11.4,11.2,37.0,11.4,"166,000",,,,,,,,,,,,
14,20191024.0,11.3,11.1,35.0,11.2,"130,596",,,,,,,,,,,,
15,20191023.0,11.1,11.05,14.0,11.1,"24,196",,,,,,,,,,,,
16,20191022.0,11.25,11.1,24.0,11.15,"54,064",,,,,,,,,,,,
17,20191021.0,11.3,11.1,39.0,11.25,"98,843",,,,,,,,,,,,
18,20191018.0,11.15,11.05,23.0,11.1,"28,425",,,,,,,,,,,,
19,20191017.0,11.3,11.25,11.0,11.25,"9,192",,,,,,,,,,,,
20,20191016.0,11.3,11.0,67.0,11.3,"195,558",,,,,,,,,,,,
21,20191015.0,11.75,10.9,292.0,11.15,"834,451",,,,,,,,,,,,
22,20191014.0,12.0,11.7,117.0,11.8,"356,525",,,,,,,,,,,,
23,20191009.0,12.2,12.05,38.0,12.05,"156,000",,,,,,,,,,,,
24,20191008.0,12.25,12.1,61.0,12.1,"296,000",,,,,,,,,,,,
25,20191007.0,12.3,12.15,71.0,12.15,"247,299",,,,,,,,,,,,
26,20191004.0,12.3,12.25,37.0,12.3,"82,111",,,,,,,,,,,,
27,20191003.0,12.3,12.15,23.0,12.3,"55,645",,,,,,,,,,,,
28,20191002.0,12.35,12.25,46.0,12.3,"198,500",,,,,,,,,,,,
29,20190927.0,12.15,12.1,67.0,12.1,"288,001",,,,,,,,,,,,
30,20190926.0,12.2,12.05,58.0,12.15,"254,216",,,,,,,,,,,,
31,20190925.0,12.2,12.05,75.0,12.1,"392,115",,,,,,,,,,,,
32,20190924.0,12.25,12.05,119.0,12.1,"640,800",,,,,,,,,,,,
33,20190923.0,12.55,12.1,158.0,12.15,"660,681",,,,,,,,,,,,
34,20190920.0,12.45,11.95,361.0,12.4,"1,361,242",,,,,,,,,,,,
35,20190919.0,11.95,11.85,58.0,11.85,"188,409",,,,,,,,,,,,
36,20190918.0,11.95,11.85,55.0,11.85,"199,666",,,,,,,,,,,,
37,20190917.0,12.0,11.85,120.0,11.85,"422,909",,,,,,,,,,,,
