,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,132,"212,570","5,949,828",27.90,20191113.0,27.80,28.20,27.09,0.30,8261,富鼎,28.20
1,20191112.0,28.2,27.7,138,28.2,"224,306",,,,,,,,,,,,
2,20191111.0,28.5,27.7,264,27.7,"324,013",,,,,,,,,,,,
3,20191108.0,28.75,28.4,146,28.5,"214,900",,,,,,,,,,,,
4,20191107.0,29.45,28.25,411,28.5,"600,965",,,,,,,,,,,,
5,20191106.0,29.85,29.05,260,29.1,"331,607",,,,,,,,,,,,
6,20191105.0,29.6,29.15,148,29.2,"215,449",,,,,,,,,,,,
7,20191104.0,29.85,29.15,256,29.15,"360,809",,,,,,,,,,,,
8,20191101.0,29.75,28.95,345,29.6,"522,501",,,,,,,,,,,,
9,20191031.0,30.0,29.1,331,29.1,"521,297",,,,,,,,,,,,
10,20191030.0,30.15,29.5,547,29.8,"727,848",,,,,,,,,,,,
11,20191029.0,30.8,29.5,786,29.5,"1,190,274",,,,,,,,,,,,
12,20191028.0,31.6,29.85,"2,245",30.6,"3,531,824",,,,,,,,,,,,
13,20191025.0,30.6,29.2,"2,106",30.5,"3,437,712",,,,,,,,,,,,
14,20191024.0,29.35,29.05,216,29.35,"326,960",,,,,,,,,,,,
15,20191023.0,30.1,29.1,"1,279",29.25,"2,148,462",,,,,,,,,,,,
16,20191022.0,29.4,28.35,512,29.2,"775,361",,,,,,,,,,,,
17,20191021.0,28.6,28.2,170,28.6,"229,706",,,,,,,,,,,,
18,20191018.0,28.6,28.2,179,28.25,"245,775",,,,,,,,,,,,
19,20191017.0,28.4,28.0,230,28.25,"289,897",,,,,,,,,,,,
20,20191016.0,29.8,27.85,"1,913",28.2,"2,613,570",,,,,,,,,,,,
21,20191015.0,28.25,27.6,133,27.65,"182,168",,,,,,,,,,,,
22,20191014.0,28.25,27.8,186,28.0,"270,327",,,,,,,,,,,,
23,20191009.0,27.85,27.55,145,27.6,"177,705",,,,,,,,,,,,
24,20191008.0,28.9,27.85,610,27.85,"863,713",,,,,,,,,,,,
25,20191007.0,28.4,27.95,129,28.0,"161,380",,,,,,,,,,,,
26,20191004.0,28.45,27.9,269,28.0,"335,421",,,,,,,,,,,,
27,20191003.0,27.8,27.35,114,27.75,"138,560",,,,,,,,,,,,
28,20191002.0,28.2,27.6,291,27.75,"435,827",,,,,,,,,,,,
29,20190927.0,28.5,27.0,495,27.15,"735,647",,,,,,,,,,,,
30,20190926.0,29.05,28.2,142,28.35,"162,675",,,,,,,,,,,,
31,20190925.0,29.1,28.25,207,28.55,"259,902",,,,,,,,,,,,
32,20190924.0,29.3,28.55,346,28.9,"555,500",,,,,,,,,,,,
33,20190923.0,28.9,28.55,245,28.55,"348,155",,,,,,,,,,,,
34,20190920.0,29.35,28.8,448,28.8,"654,210",,,,,,,,,,,,
35,20190919.0,29.6,28.4,"2,564",29.2,"4,245,260",,,,,,,,,,,,
36,20190918.0,28.0,27.7,115,27.85,"159,012",,,,,,,,,,,,
37,20190917.0,27.85,27.35,95,27.6,"106,628",,,,,,,,,,,,
38,20190916.0,27.65,27.3,133,27.35,"173,127",,,,,,,,,,,,
39,20190912.0,28.0,27.55,119,27.7,"162,469",,,,,,,,,,,,
40,20190911.0,28.1,27.6,208,27.7,"330,721",,,,,,,,,,,,
41,20190910.0,29.0,28.6,262,28.7,"395,051",,,,,,,,,,,,
42,20190909.0,29.6,28.95,487,28.95,"790,265",,,,,,,,,,,,
43,20190906.0,29.35,29.0,178,29.15,"220,766",,,,,,,,,,,,
44,20190905.0,29.5,29.0,195,29.1,"252,795",,,,,,,,,,,,
45,20190904.0,29.3,28.9,195,29.1,"271,719",,,,,,,,,,,,
46,20190903.0,29.5,28.9,255,28.9,"364,476",,,,,,,,,,,,
47,20190902.0,29.35,28.8,230,29.1,"402,054",,,,,,,,,,,,
48,20190830.0,29.15,28.7,193,28.75,"275,276",,,,,,,,,,,,
49,20190829.0,29.0,28.55,192,28.65,"222,802",,,,,,,,,,,,
50,20190828.0,29.6,28.8,601,28.8,"925,208",,,,,,,,,,,,
51,20190827.0,29.2,27.95,648,28.8,"968,748",,,,,,,,,,,,
52,20190826.0,27.9,27.3,208,27.65,"308,142",,,,,,,,,,,,
53,20190823.0,29.0,28.35,287,28.4,"461,842",,,,,,,,,,,,
54,20190822.0,30.2,28.65,842,28.7,"1,360,145",,,,,,,,,,,,
55,20190821.0,29.6,29.1,415,29.55,"593,434",,,,,,,,,,,,
56,20190820.0,30.25,28.5,"2,564",29.4,"4,003,959",,,,,,,,,,,,
57,20190819.0,28.6,27.9,268,28.2,"369,947",,,,,,,,,,,,
58,20190816.0,28.0,26.85,284,27.7,"379,076",,,,,,,,,,,,
59,20190815.0,27.0,26.5,115,27.0,"131,026",,,,,,,,,,,,
60,20190814.0,27.95,27.1,127,27.1,"158,775",,,,,,,,,,,,
61,20190813.0,27.45,27.1,91,27.3,"111,331",,,,,,,,,,,,
62,20190812.0,27.6,27.0,248,27.35,"341,115",,,,,,,,,,,,
63,20190808.0,27.45,26.45,156,26.95,"204,084",,,,,,,,,,,,
64,20190807.0,27.3,26.6,129,26.6,"182,183",,,,,,,,,,,,
65,20190806.0,27.2,25.5,256,27.0,"356,348",,,,,,,,,,,,
66,20190805.0,27.3,26.65,155,26.65,"185,081",,,,,,,,,,,,
