,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,294,"1,061,164","8,153,911",7.70,20191113.0,7.65,7.74,0.00,0.01,6443,元晶,7.70
1,20191112.0,7.72,7.63,316,7.69,"991,669",,,,,,,,,,,,
2,20191111.0,7.93,7.61,904,7.61,"3,420,790",,,,,,,,,,,,
3,20191108.0,8.15,7.9,831,7.98,"3,084,002",,,,,,,,,,,,
4,20191107.0,7.95,7.85,590,7.92,"2,212,152",,,,,,,,,,,,
5,20191106.0,7.96,7.79,808,7.85,"2,692,379",,,,,,,,,,,,
6,20191105.0,8.0,7.83,"1,142",7.83,"4,563,461",,,,,,,,,,,,
7,20191104.0,8.28,7.94,"2,081",7.96,"8,664,917",,,,,,,,,,,,
8,20191101.0,8.48,8.17,"2,855",8.27,"12,387,538",,,,,,,,,,,,
9,20191031.0,8.38,8.15,"3,685",8.38,"21,901,899",,,,,,,,,,,,
10,20191030.0,7.65,7.46,669,7.62,"2,537,603",,,,,,,,,,,,
11,20191029.0,7.59,7.47,437,7.5,"1,582,899",,,,,,,,,,,,
12,20191028.0,7.63,7.5,419,7.53,"1,619,027",,,,,,,,,,,,
13,20191025.0,7.73,7.56,868,7.56,"3,362,233",,,,,,,,,,,,
14,20191024.0,7.57,7.49,418,7.54,"1,466,595",,,,,,,,,,,,
15,20191023.0,7.6,7.5,360,7.51,"1,416,642",,,,,,,,,,,,
16,20191022.0,7.65,7.51,781,7.59,"3,094,059",,,,,,,,,,,,
17,20191021.0,7.51,7.43,449,7.51,"1,669,921",,,,,,,,,,,,
18,20191018.0,7.54,7.42,489,7.43,"2,104,086",,,,,,,,,,,,
19,20191017.0,7.59,7.44,818,7.48,"3,918,023",,,,,,,,,,,,
20,20191016.0,7.72,7.46,"1,793",7.62,"8,725,733",,,,,,,,,,,,
21,20191015.0,7.41,7.36,307,7.41,"1,241,923",,,,,,,,,,,,
22,20191014.0,7.46,7.35,423,7.38,"1,727,969",,,,,,,,,,,,
23,20191009.0,7.44,7.38,269,7.4,"811,852",,,,,,,,,,,,
24,20191008.0,7.48,7.4,267,7.44,"980,693",,,,,,,,,,,,
25,20191007.0,7.5,7.39,315,7.42,"1,538,274",,,,,,,,,,,,
26,20191004.0,7.52,7.43,332,7.44,"1,089,246",,,,,,,,,,,,
27,20191003.0,7.45,7.38,289,7.42,"1,268,826",,,,,,,,,,,,
28,20191002.0,7.48,7.42,272,7.44,"968,546",,,,,,,,,,,,
29,20190927.0,7.55,7.43,530,7.44,"2,531,722",,,,,,,,,,,,
30,20190926.0,7.6,7.51,440,7.55,"1,582,837",,,,,,,,,,,,
31,20190925.0,7.63,7.53,467,7.56,"1,602,547",,,,,,,,,,,,
32,20190924.0,7.69,7.58,806,7.62,"3,510,921",,,,,,,,,,,,
33,20190923.0,7.62,7.48,905,7.56,"3,533,929",,,,,,,,,,,,
34,20190920.0,7.5,7.42,567,7.5,"1,687,830",,,,,,,,,,,,
