,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,235,"264,132","49,595,011",188.50,20191113.0,187.00,188.50,19.90,0.50,1707,葡萄王,187.50
1,20191112.0,188.5,187.0,305.0,188.0,"336,381",,,,,,,,,,,,
2,20191111.0,188.5,187.0,239.0,188.0,"258,505",,,,,,,,,,,,
3,20191108.0,189.0,187.5,165.0,188.0,"176,490",,,,,,,,,,,,
4,20191107.0,189.0,187.0,319.0,187.5,"399,378",,,,,,,,,,,,
5,20191106.0,189.5,188.0,347.0,188.0,"454,348",,,,,,,,,,,,
6,20191105.0,189.5,187.0,414.0,188.0,"504,526",,,,,,,,,,,,
7,20191104.0,188.5,187.0,350.0,188.5,"489,923",,,,,,,,,,,,
8,20191101.0,188.5,187.0,281.0,187.5,"299,033",,,,,,,,,,,,
9,20191031.0,188.5,188.0,201.0,188.5,"235,492",,,,,,,,,,,,
10,20191030.0,188.5,187.5,140.0,188.0,"295,166",,,,,,,,,,,,
11,20191029.0,189.0,187.5,132.0,188.0,"170,432",,,,,,,,,,,,
12,20191028.0,190.0,188.0,158.0,188.5,"139,604",,,,,,,,,,,,
13,20191025.0,190.0,189.0,215.0,190.0,"186,266",,,,,,,,,,,,
14,20191024.0,189.5,187.0,248.0,189.5,"305,258",,,,,,,,,,,,
15,20191023.0,188.5,186.5,165.0,188.0,"196,722",,,,,,,,,,,,
16,20191022.0,188.5,187.0,117.0,187.5,"246,400",,,,,,,,,,,,
17,20191021.0,188.5,187.0,82.0,188.0,"70,832",,,,,,,,,,,,
18,20191018.0,188.5,186.5,248.0,187.0,"342,763",,,,,,,,,,,,
19,20191017.0,189.0,188.0,144.0,188.5,"174,625",,,,,,,,,,,,
20,20191016.0,189.0,187.5,211.0,187.5,"248,009",,,,,,,,,,,,
21,20191015.0,189.0,187.5,156.0,188.5,"166,705",,,,,,,,,,,,
22,20191014.0,190.5,187.5,237.0,187.5,"324,481",,,,,,,,,,,,
23,20191009.0,189.5,188.0,225.0,189.0,"230,457",,,,,,,,,,,,
24,20191008.0,189.0,187.5,163.0,188.0,"178,367",,,,,,,,,,,,
25,20191007.0,190.0,187.0,168.0,188.0,"144,600",,,,,,,,,,,,
26,20191004.0,187.5,186.0,153.0,186.0,"154,706",,,,,,,,,,,,
27,20191003.0,187.5,186.0,93.0,186.5,"103,133",,,,,,,,,,,,
28,20191002.0,188.0,186.0,98.0,188.0,"83,611",,,,,,,,,,,,
29,20190927.0,188.0,185.0,190.0,185.0,"205,962",,,,,,,,,,,,
30,20190926.0,190.5,187.0,260.0,187.5,"304,625",,,,,,,,,,,,
31,20190925.0,190.0,187.0,232.0,190.0,"280,683",,,,,,,,,,,,
32,20190924.0,189.0,187.0,258.0,188.0,"258,189",,,,,,,,,,,,
33,20190923.0,189.0,184.5,366.0,187.5,"440,422",,,,,,,,,,,,
34,20190920.0,186.5,185.0,472.0,185.5,"609,112",,,,,,,,,,,,
35,20190919.0,186.5,184.0,472.0,186.0,"566,943",,,,,,,,,,,,
36,20190918.0,187.0,183.5,762.0,184.5,"935,111",,,,,,,,,,,,
37,20190917.0,187.5,186.0,254.0,186.0,"264,915",,,,,,,,,,,,
38,20190916.0,189.0,186.5,251.0,186.5,"235,986",,,,,,,,,,,,
39,20190912.0,189.5,188.0,245.0,188.5,"348,262",,,,,,,,,,,,
40,20190911.0,188.5,187.0,336.0,187.0,"432,628",,,,,,,,,,,,
41,20190910.0,190.0,187.5,180.0,189.0,"202,132",,,,,,,,,,,,
42,20190909.0,190.0,187.5,322.0,187.5,"417,950",,,,,,,,,,,,
43,20190906.0,190.5,188.0,284.0,189.5,"293,296",,,,,,,,,,,,
44,20190905.0,191.5,189.0,292.0,189.0,"273,999",,,,,,,,,,,,
45,20190904.0,192.0,189.5,385.0,190.5,"399,300",,,,,,,,,,,,
46,20190903.0,195.5,193.0,241.0,193.0,"255,376",,,,,,,,,,,,
47,20190902.0,195.0,193.0,206.0,194.5,"195,711",,,,,,,,,,,,
48,20190830.0,195.5,188.5,472.0,193.0,"488,847",,,,,,,,,,,,
49,20190829.0,190.5,189.0,134.0,189.5,"137,490",,,,,,,,,,,,
50,20190828.0,190.5,187.0,258.0,190.0,"259,192",,,,,,,,,,,,
51,20190827.0,189.0,187.0,144.0,187.5,"138,250",,,,,,,,,,,,
52,20190826.0,187.5,186.0,229.0,187.0,"226,200",,,,,,,,,,,,
53,20190823.0,190.0,188.5,145.0,188.5,"147,143",,,,,,,,,,,,
54,20190822.0,189.5,188.0,175.0,189.0,"183,302",,,,,,,,,,,,
55,20190821.0,189.5,188.0,233.0,188.0,"204,729",,,,,,,,,,,,
56,20190820.0,189.5,187.5,311.0,189.5,"334,413",,,,,,,,,,,,
57,20190819.0,189.0,187.5,149.0,188.0,"145,002",,,,,,,,,,,,
58,20190816.0,188.0,187.0,154.0,187.0,"139,624",,,,,,,,,,,,
59,20190815.0,189.0,185.0,233.0,187.0,"236,521",,,,,,,,,,,,
60,20190814.0,190.0,187.5,209.0,187.5,"194,110",,,,,,,,,,,,
61,20190813.0,188.5,186.5,210.0,187.5,"201,904",,,,,,,,,,,,
62,20190812.0,191.5,187.5,385.0,187.5,"421,168",,,,,,,,,,,,
63,20190808.0,192.0,190.0,186.0,190.5,"171,377",,,,,,,,,,,,
64,20190807.0,193.0,190.0,243.0,190.0,"235,018",,,,,,,,,,,,
65,20190806.0,191.5,186.0,398.0,190.5,"413,408",,,,,,,,,,,,
66,20190805.0,192.5,191.0,260.0,191.0,"261,851",,,,,,,,,,,,
