,date,highPrice,lowPrice,numberOfTransactions,price,value,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,,,,,,,61,"109,950","2,476,424",22.50,20191113.0,22.40,22.70,8.43,0.15,5525,順天,22.55
1,20191112.0,22.65,22.4,65.0,22.65,"113,900",,,,,,,,,,,,
2,20191111.0,22.75,22.6,55.0,22.75,"96,950",,,,,,,,,,,,
3,20191108.0,22.95,22.7,46.0,22.8,"92,350",,,,,,,,,,,,
4,20191107.0,22.95,22.8,38.0,22.95,"44,100",,,,,,,,,,,,
5,20191106.0,22.9,22.85,60.0,22.9,"114,450",,,,,,,,,,,,
6,20191105.0,23.0,22.8,63.0,22.9,"75,720",,,,,,,,,,,,
7,20191104.0,23.0,22.8,71.0,23.0,"85,572",,,,,,,,,,,,
8,20191101.0,22.9,22.8,45.0,22.85,"62,760",,,,,,,,,,,,
9,20191031.0,22.9,22.75,70.0,22.8,"129,864",,,,,,,,,,,,
10,20191030.0,22.85,22.7,42.0,22.8,"71,791",,,,,,,,,,,,
11,20191029.0,22.85,22.7,71.0,22.8,"145,150",,,,,,,,,,,,
12,20191028.0,22.85,22.8,52.0,22.85,"63,918",,,,,,,,,,,,
13,20191025.0,22.85,22.75,56.0,22.85,"49,193",,,,,,,,,,,,
14,20191024.0,22.85,22.65,90.0,22.75,"125,709",,,,,,,,,,,,
15,20191023.0,22.8,22.65,68.0,22.75,"84,478",,,,,,,,,,,,
16,20191022.0,22.9,22.7,112.0,22.8,"113,256",,,,,,,,,,,,
17,20191021.0,23.1,22.6,156.0,22.8,"183,206",,,,,,,,,,,,
18,20191018.0,23.2,22.95,131.0,23.0,"129,862",,,,,,,,,,,,
19,20191017.0,23.4,22.9,73.0,23.3,"98,922",,,,,,,,,,,,
20,20191016.0,23.15,22.85,47.0,23.15,"47,000",,,,,,,,,,,,
21,20191015.0,23.0,22.5,109.0,23.0,"117,608",,,,,,,,,,,,
22,20191014.0,22.7,22.0,121.0,22.65,"229,221",,,,,,,,,,,,
23,20191009.0,22.9,22.8,29.0,22.85,"30,906",,,,,,,,,,,,
24,20191008.0,22.95,22.65,79.0,22.8,"142,000",,,,,,,,,,,,
25,20191007.0,23.15,22.7,71.0,22.9,"92,500",,,,,,,,,,,,
